Gene Name,Gene Isoform,Alternate Name,Fold Change (adr-1;adr-2 vs WT),p-value,Input,Suggested Match,History
F26D11.9,F26D11.9,clec-217,-6.91,0.0073,F26D11.9,WBGene00017824,Sequence name for WBGene00017824(clec-217). History: N.A.
F26D2.16,F26D2.16,,-17.02,0.00035,F26D2.16,WBGene00009154,Public name for WBGene00009154. History: N.A.
F26D2.17,F26D2.17,,-1.42,0.041,F26D2.17,WBGene00009150,"Public name for Dead gene WBGene00045489. History of WBGene00045489: Merged into ""WBGene00009150"" on 2011-07-08"
F26E4.2,F26E4.2,,2.45,0.0069,F26E4.2,WBGene00009157,Public name for WBGene00009157. History: N.A.
F26F12.5,F26F12.5b,,1.65,0.011,F26F12.5,WBGene00017836,Public name for WBGene00017836. History: N.A.
F26F12.7,F26F12.7.2,let-418,-1.65,0.03,F26F12.7,WBGene00002637,Sequence name for WBGene00002637(let-418). History: N.A.
F26F12.8,F26F12.8,,1.95,0.022,F26F12.8,WBGene00044544,Public name for WBGene00044544. History: N.A.
F26F2.2,F26F2.2,,2.5,0.03,F26F2.2,WBGene00009167,"Public name for WBGene00009167. History: Split into F26F2.13(WBGene00219309). History of WBGene00009167: Split into ""WBGene00219309"" on 2011-10-27"
F26F2.3,F26F2.3,,1.92,0.006,F26F2.3,WBGene00009168,Public name for WBGene00009168. History: N.A.
F26F2.4,F26F2.4,,5.35,0.0055,F26F2.4,WBGene00009169,Public name for WBGene00009169. History: N.A.
F26F2.6,F26F2.6,clec-263,-7.29,0.0096,F26F2.6,WBGene00009171,Sequence name for WBGene00009171(clec-263). History: N.A.
F26F2.9,F26F2.9,,2.6,0.026,F26F2.9,WBGene00050959,Public name for WBGene00050959. History: N.A.
F26F4.11,F26F4.11,rpb-8,1.68,0.0097,F26F4.11,WBGene00017830,Sequence name for WBGene00017830(rpb-8). History: N.A.
F26F4.13,F26F4.13,kbp-2,1.37,0.034,F26F4.13,WBGene00017832,Sequence name for WBGene00017832(kbp-2). History: N.A.
F26G5.9,F26G5.9,tam-1,-1.71,0.049,F26G5.9,WBGene00006523,Sequence name for WBGene00006523(tam-1). History: N.A.
F26H11.2,F26H11.2c,nurf-1,-1.52,0.022,F26H11.2,WBGene00009180,Sequence name for WBGene00009180(nurf-1). History: N.A.
F26H9.2,F26H9.2,,-1.7,0.027,F26H9.2,WBGene00009174,Public name for WBGene00009174. History: N.A.
F27C1.4,F27C1.4,,1.43,0.03,F27C1.4,WBGene00017854,Public name for WBGene00017854. History: N.A.
F27D4.6,F27D4.6a.3,,-1.35,0.037,F27D4.6,WBGene00009190,Public name for WBGene00009190. History: N.A.
F27D9.2,F27D9.2,,1.56,0.027,F27D9.2,WBGene00017861,Public name for WBGene00017861. History: N.A.
F27E11.3,F27E11.3a,cfz-2,3.8,0.0013,F27E11.3,WBGene00000478,Sequence name for WBGene00000478(cfz-2). History: N.A.
F27E5.8,F27E5.8,,2.06,0.01,F27E5.8,WBGene00044027,Public name for WBGene00044027. History: N.A.
F28B1.1,F28B1.1,,-5.34,0.019,F28B1.1,WBGene00009195,Sequence name for WBGene00009195(hpo-33). History: N.A.
F28B1.12,F28B1.12,,5.76,1.2e-07,F28B1.12,WBGene00077494,Public name for WBGene00077494. History: N.A.
F28B1.2,F28B1.2,,-4.57,0.013,F28B1.2,WBGene00009196,Public name for WBGene00009196. History: N.A.
F28B1.3,F28B1.3,,-1.62,0.047,F28B1.3,WBGene00009197,Public name for WBGene00009197. History: N.A.
F28B1.9,F28B1.9,,-4.76,0.014,F28B1.9,WBGene00045381,Public name for WBGene00045381. History: N.A.
F28B12.2,F28B12.2e.3,egl-44,-1.55,0.01,F28B12.2,WBGene00001208,Sequence name for WBGene00001208(egl-44). History: N.A.
F28B3.4,F28B3.4,,-1.49,0.014,F28B3.4,WBGene00017885,Sequence name for WBGene00017885(dip-2). History: N.A.
F28C6.10,F28C6.10,,-1.5,0.049,F28C6.10,WBGene00009209,Public name for WBGene00009209. History: N.A.
F28C6.7,F28C6.7c,rpl-26,1.56,0.032,F28C6.7,WBGene00004440,Sequence name for WBGene00004440(rpl-26). History: N.A.
F28D1.11,F28D1.11,,2.93,0.0031,F28D1.11,WBGene00009219,Sequence name for WBGene00009219(dpm-3). History: N.A.
F28D1.7,F28D1.7.3,rps-23,1.78,0.026,F28D1.7,WBGene00004492,Sequence name for WBGene00004492(rps-23). History: N.A.
F28E10.1,F28E10.1d,,-1.67,0.022,F28E10.1,WBGene00017900,Public name for WBGene00017900. History: N.A.
F28F5.3,F28F5.3c,lim-8,-1.49,0.023,F28F5.3,WBGene00017904,Sequence name for WBGene00017904(lim-8). History: Renamed on 2007-02-02
F28F8.7,F28F8.7,,-1.91,0.005,F28F8.7,WBGene00009224,Public name for WBGene00009224. History: N.A.
F28F9.3,F28F9.3,,1.77,0.046,F28F9.3,WBGene00017907,Public name for WBGene00017907. History: N.A.
F28G4.1,F28G4.1,cyp-37B1,1.9,0.028,F28G4.1,WBGene00009226,Sequence name for WBGene00009226(cyp-37B1). History: N.A.
F28G4.5,F28G4.5,,5.88,0.00013,F28G4.5,WBGene00009230,Sequence name for WBGene00009230(oac-18). History: N.A.
F28H1.2,F28H1.2.2,cpn-3,-1.43,0.026,F28H1.2,WBGene00000779,Sequence name for WBGene00000779(cpn-3). History: N.A.
F28H1.4,F28H1.4a,,1.67,0.036,F28H1.4,WBGene00017909,Public name for WBGene00017909. History: N.A.
F28H6.6,F28H6.6,,-1.63,0.023,F28H6.6,WBGene00009234,Public name for WBGene00009234. History: N.A.
F28H6.8,F28H6.8,,1.88,0.0063,F28H6.8,WBGene00044137,Public name for WBGene00044137. History: N.A.
F28H7.2,F28H7.2,,1.48,0.048,F28H7.2,WBGene00009236,Public name for WBGene00009236. History: N.A.
F28H7.3,F28H7.3,,1.7,0.036,F28H7.3,WBGene00009237,Public name for WBGene00009237. History: N.A.
F28H7.8,F28H7.8,,-1.45,0.015,F28H7.8,WBGene00009241,Public name for WBGene00009241. History: N.A.
F28H7.9,F28H7.9,sre-6,2.57,0.00018,F28H7.9,WBGene00009242,Sequence name for WBGene00009242(sre-6). History: N.A.
F29A7.3,F29A7.3,,-1.71,0.014,F29A7.3,WBGene00017913,Public name for WBGene00017913. History: N.A.
F29B9.2,F29B9.2a,,-1.48,0.029,F29B9.2,WBGene00017920,Sequence name for WBGene00017920(jmjd-1.2). History: N.A.
F29C12.5,F29C12.5,bath-45,2.19,0.00045,F29C12.5,WBGene00009247,Sequence name for WBGene00009247(bath-45). History: N.A.
F29C12.6,F29C12.6,,2.93,0.024,F29C12.6,WBGene00009248,Public name for WBGene00009248. History: N.A.
F29D11.1,F29D11.1,lrp-1,-1.59,0.027,F29D11.1,WBGene00003071,Sequence name for WBGene00003071(lrp-1). History: N.A.
F29F11.5,F29F11.5a,ceh-22,-1.41,0.039,F29F11.5,WBGene00000445,Sequence name for WBGene00000445(ceh-22). History: Renamed on 2006-12-04
F29F11.6,F29F11.6,gsp-1,-1.49,0.02,F29F11.6,WBGene00001747,Sequence name for WBGene00001747(gsp-1). History: N.A.
F30A10.13,F30A10.13b.1,,2.06,0.0076,F30A10.13,WBGene00044680,Public name for WBGene00044680. History: N.A.
F30A10.14,F30A10.14,,1.84,0.0039,F30A10.14,WBGene00045473,Public name for WBGene00045473. History: N.A.
F30F8.10,F30F8.10a,,1.34,0.048,F30F8.10,WBGene00009277,Public name for WBGene00009277. History: N.A.
F30H5.3,F30H5.3,,-1.66,0.013,F30H5.3,WBGene00017937,Public name for WBGene00017937. History: N.A.
F30H5.5,F30H5.5,,-1.49,0.039,F30H5.5,WBGene00044288,Public name for WBGene00044288. History: N.A.
F31A3.2,F31A3.2,hlh-28,-1.75,0.039,F31A3.2,WBGene00001967,Sequence name for WBGene00001967(hlh-28). History: N.A.
F31C3.7,F31C3.7,rrn-1.1,1.38,0.04,F31C3.7,WBGene00004512,Sequence name for WBGene00004512(rrn-1.1). History: N.A.
F31D4.2,F31D4.2,,1.76,0.0076,F31D4.2,WBGene00009290,Public name for WBGene00009290. History: N.A.
F31D4.4,F31D4.4,clec-264,1.32,0.048,F31D4.4,WBGene00009291,Sequence name for WBGene00009291(clec-264). History: N.A.
F31D4.9,F31D4.9,,1.58,0.045,F31D4.9,WBGene00009294,Public name for WBGene00009294. History: N.A.
F31D5.5,F31D5.5,,-1.41,0.044,F31D5.5,WBGene00017948,Sequence name for WBGene00017948(mth-1). History: N.A.
F31E8.2,F31E8.2b,snt-1,1.36,0.041,F31E8.2,WBGene00004921,Sequence name for WBGene00004921(snt-1). History: N.A.
F31E9.6,F31E9.6,,2.18,0.00012,F31E9.6,WBGene00009299,Public name for WBGene00009299. History: N.A.
F31F4.1,F31F4.1,,-1.66,0.041,F31F4.1,WBGene00017957,Public name for WBGene00017957. History: N.A.
F31F4.14,F31F4.14,sru-25,-1.58,0.0025,F31F4.14,WBGene00005688,Sequence name for WBGene00005688(sru-25). History: N.A.
F31F4.3,F31F4.3,srx-22,-1.34,0.048,F31F4.3,WBGene00005913,Sequence name for WBGene00005913(srx-22). History: N.A.
F31F4.9,F31F4.9,srh-245,-1.34,0.046,F31F4.9,WBGene00005451,Sequence name for WBGene00005451(srh-245). History: N.A.
F31F7.1,F31F7.1b.1,,-1.65,0.026,F31F7.1,WBGene00017964,Public name for WBGene00017964. History: N.A.
F32A5.2,F32A5.2a,,-1.53,0.034,F32A5.2,WBGene00017968,Sequence name for WBGene00017968(skpo-3). History: N.A.
F32A5.5,F32A5.5b.1,aqp-1,1.6,0.034,F32A5.5,WBGene00000169,Sequence name for WBGene00000169(aqp-1). History: Renamed on 2004-08-25
F32A5.7,F32A5.7,lsm-4,1.41,0.036,F32A5.7,WBGene00003078,Sequence name for WBGene00003078(lsm-4). History: N.A.
F32A6.2,F32A6.2,ift-81,-1.71,0.011,F32A6.2,WBGene00017973,Sequence name for WBGene00017973(ift-81). History: N.A.
F32A6.3,F32A6.3a,vps-41,-1.39,0.043,F32A6.3,WBGene00017974,Sequence name for WBGene00017974(vps-41). History: N.A.
F32A7.1,F32A7.1,srw-92,-1.61,0.042,F32A7.1,WBGene00005839,Sequence name for WBGene00005839(srw-92). History: N.A.
F32A7.5,F32A7.5a,,-1.69,0.0021,F32A7.5,WBGene00009306,Sequence name for WBGene00009306(maph-1.1). History: N.A.
F32B4.8,F32B4.8,,-1.79,0.0089,F32B4.8,WBGene00009318,Public name for WBGene00009318. History: N.A.
F32B6.2,F32B6.2.1,,-1.64,0.036,F32B6.2,WBGene00009319,Sequence name for WBGene00009319(mccc-1). History: N.A.
F32G8.1,F32G8.1,srd-34,-1.45,0.025,F32G8.1,WBGene00005112,Sequence name for WBGene00005112(srd-34). History: N.A.
F32G8.3,F32G8.3,,1.84,0.044,F32G8.3,WBGene00009339,Public name for WBGene00009339. History: N.A.
F32G8.6,F32G8.6,cat-4,1.47,0.035,F32G8.6,WBGene00000298,Sequence name for WBGene00000298(cat-4). History: N.A.
F32H2.2,F32H2.2,mdt-31,1.46,0.032,F32H2.2,WBGene00007026,Sequence name for WBGene00007026(mdt-31). History: N.A.
F32H5.3,F32H5.3b,,1.45,0.038,F32H5.3,WBGene00009349,Public name for WBGene00009349. History: N.A.
F32H5.6,F32H5.6b,srx-125,1.84,0.0052,F32H5.6,WBGene00006016,Sequence name for WBGene00006016(srx-125). History: N.A.
F33D11.12,F33D11.12,,1.35,0.049,F33D11.12,WBGene00018009,"Sequence name for WBGene00018009(dhhc-3). History: Split into F33D11.17(WBGene00303057). History of WBGene00018009: Split into ""WBGene00303057"" on 2018-03-02"
F33D11.3,F33D11.3,col-54,1.86,0.038,F33D11.3,WBGene00000631,Sequence name for WBGene00000631(col-54). History: N.A.
F33D11.8,F33D11.8,,1.49,0.041,F33D11.8,WBGene00018005,Sequence name for WBGene00018005(nlp-62). History: N.A.
F33D4.2,F33D4.2a.2,itr-1,-1.94,0.033,F33D4.2,WBGene00002173,Sequence name for WBGene00002173(itr-1). History: N.A.
F33D4.7,F33D4.7,,1.45,0.037,F33D4.7,WBGene00017999,Sequence name for WBGene00017999(emc-6). History: N.A.
F33D4.8,F33D4.8,,2.55,0.028,F33D4.8,WBGene00023487,Sequence name for WBGene00023487(mrps-24). History: N.A.
F33E11.3,F33E11.3,,1.54,0.042,F33E11.3,WBGene00018011,Public name for WBGene00018011. History: N.A.
F33E2.10,F33E2.10,,1.99,0.027,F33E2.10,WBGene00077769,Public name for WBGene00077769. History: N.A.
F33E2.6,F33E2.6,,-1.35,0.048,F33E2.6,WBGene00009362,Public name for WBGene00009362. History: N.A.
F33G12.6,F33G12.6a,,-1.39,0.03,F33G12.6,WBGene00018018,Public name for WBGene00018018. History: N.A.
F33G12.7,F33G12.7,,1.78,0.02,F33G12.7,WBGene00044666,Public name for WBGene00044666. History: N.A.
F33H1.1,F33H1.1a,daf-19,-1.51,0.025,F33H1.1,WBGene00000914,Sequence name for WBGene00000914(daf-19). History: N.A.
F33H1.4,F33H1.4,,3.43,4.6e-05,F33H1.4,WBGene00009365,Public name for WBGene00009365. History: N.A.
F33H1.6,F33H1.6,,1.59,0.046,F33H1.6,WBGene00044028,Sequence name for WBGene00044028(nlp-63). History: N.A.
F33H2.1,F33H2.1,dog-1,-1.63,0.038,F33H2.1,WBGene00001049,Sequence name for WBGene00001049(dog-1). History: N.A.
F34D10.2,F34D10.2.1,,2.08,0.0041,F34D10.2,WBGene00009372,"Sequence name for WBGene00009372(evl-18). History: Split into F34D10.9(WBGene00045484). History of WBGene00009372: Split into ""WBGene00045484"" on 2007-07-16; Renamed on 2012-08-30"
F34D10.4,F34D10.4.2,,-1.71,0.044,F34D10.4,WBGene00009374,Public name for WBGene00009374. History: N.A.
F34D10.6,F34D10.6,,1.47,0.019,F34D10.6,WBGene00009375,Sequence name for WBGene00009375(arcp-1). History: N.A.
F34D10.7,F34D10.7.1,,-1.44,0.05,F34D10.7,WBGene00009375,"Public name for Dead gene WBGene00009376. History of WBGene00009376: Merged into ""WBGene00009375"" on 2009-06-17"
F34D6.7,F34D6.7,,-11.75,7e-05,F34D6.7,WBGene00044364,Sequence name for WBGene00044364(nspf-1). History: N.A.
F34D6.8,F34D6.8,,-12.45,4e-05,F34D6.8,WBGene00044365,Sequence name for WBGene00044365(nspf-2). History: N.A.
F35A5.1,F35A5.1,,-1.79,0.024,F35A5.1,WBGene00018024,Public name for WBGene00018024. History: N.A.
F35B12.8,F35B12.8,glb-15,1.51,0.034,F35B12.8,WBGene00009387,Sequence name for WBGene00009387(glb-15). History: N.A.
F35B3.5,F35B3.5a,pqn-34,-1.58,0.028,F35B3.5,WBGene00004121,Sequence name for WBGene00004121(ptrn-1). History: Renamed on 2012-12-21
F35C5.3,F35C5.3,,-2.9,0.023,F35C5.3,WBGene00009391,Public name for WBGene00009391. History: N.A.
F35C5.5,F35C5.5a,clec-62,1.72,0.02,F35C5.5,WBGene00009393,Sequence name for WBGene00009393(clec-62). History: N.A.
F35C5.8,F35C5.8.1,clec-65,1.49,0.035,F35C5.8,WBGene00009396,Sequence name for WBGene00009396(clec-65). History: N.A.
F35D11.7,F35D11.7,clec-136,-3.55,0.0099,F35D11.7,WBGene00018047,Sequence name for WBGene00018047(clec-136). History: N.A.
F35D11.8,F35D11.8,clec-137,-14.35,0.0029,F35D11.8,WBGene00018048,Sequence name for WBGene00018048(clec-137). History: N.A.
F35D11.9,F35D11.9,clec-138,-8.81,0.0022,F35D11.9,WBGene00018049,Sequence name for WBGene00018049(clec-138). History: N.A.
F35E12.4,F35E12.4,,1.58,0.035,F35E12.4,WBGene00009428,Public name for WBGene00009428. History: N.A.
F35E12.9,F35E12.9b,,1.47,0.021,F35E12.9,WBGene00009433,Public name for WBGene00009433. History: N.A.
F35F10.1,F35F10.1,,1.73,0.0058,F35F10.1,WBGene00018052,Public name for WBGene00018052. History: N.A.
F35G12.3,F35G12.3a,sel-5,-2.01,0.017,F35G12.3,WBGene00004762,Sequence name for WBGene00004762(sel-5). History: N.A.
F35G2.2,F35G2.2.1,,1.34,0.042,F35G2.2,WBGene00009436,Sequence name for WBGene00009436(marb-1). History: N.A.
F35H10.2,F35H10.2,,1.98,0.027,F35H10.2,WBGene00018068,Public name for WBGene00018068. History: N.A.
F35H10.5,F35H10.5,,1.59,0.022,F35H10.5,WBGene00018070,Public name for WBGene00018070. History: N.A.
F35H8.5,F35H8.5,exc-7,-1.61,0.0098,F35H8.5,WBGene00001368,Sequence name for WBGene00001368(exc-7). History: Renamed on 2004-11-09
F36A2.6,F36A2.6.1,rps-15,2.04,0.03,F36A2.6,WBGene00004484,Sequence name for WBGene00004484(rps-15). History: N.A.
F36A2.8,F36A2.8,,1.7,0.0097,F36A2.8,WBGene00009455,Sequence name for WBGene00009455(phip-1). History: N.A.
F36A4.7,F36A4.7,ama-1,-1.73,0.037,F36A4.7,WBGene00000123,Sequence name for WBGene00000123(ama-1). History: Renamed on 2007-10-04
F36D1.11,F36D1.11,,-1.35,0.047,F36D1.11,WBGene00077524,Public name for WBGene00077524. History: N.A.
F36D1.8,F36D1.8,,-1.74,0.019,F36D1.8,WBGene00009467,Public name for WBGene00009467. History: N.A.
F36D3.13,F36D3.13,srw-34,-1.33,0.036,F36D3.13,WBGene00005781,Sequence name for WBGene00005781(srw-34). History: N.A.
F36D3.14,F36D3.14,,7.0,5.8e-06,F36D3.14,WBGene00044189,Public name for WBGene00044189. History: N.A.
F36D3.9,F36D3.9,cpr-2,2.98,0.00089,F36D3.9,WBGene00000782,Sequence name for WBGene00000782(cpr-2). History: N.A.
F36D4.5,F36D4.5a,,1.75,0.05,F36D4.5,WBGene00018090,Public name for WBGene00018090. History: N.A.
F36D4.6,F36D4.6,,1.64,0.028,F36D4.6,WBGene00018091,Public name for WBGene00018091. History: N.A.
F36F12.5,F36F12.5,clec-207,-9.27,0.00054,F36F12.5,WBGene00018096,Sequence name for WBGene00018096(clec-207). History: N.A.
F36F12.6,F36F12.6,clec-208,-3.94,0.015,F36F12.6,WBGene00018097,Sequence name for WBGene00018097(clec-208). History: N.A.
F36F2.2,F36F2.2,,1.44,0.023,F36F2.2,WBGene00009476,Public name for WBGene00009476. History: N.A.
F36F2.6,F36F2.6,fcp-1,1.89,0.0045,F36F2.6,WBGene00009479,Sequence name for WBGene00009479(fcp-1). History: N.A.
F36G9.1,F36G9.1,srw-57,-1.49,0.049,F36G9.1,WBGene00005804,Sequence name for WBGene00005804(srw-57). History: N.A.
F36H1.12,F36H1.12,,1.67,0.012,F36H1.12,WBGene00009497,Public name for WBGene00009497. History: N.A.
F36H5.4,F36H5.4,,-1.36,0.044,F36H5.4,WBGene00018103,Public name for WBGene00018103. History: N.A.
F36H9.3,F36H9.3,dhs-13,1.4,0.046,F36H9.3,WBGene00000976,Sequence name for WBGene00000976(dhs-13). History: N.A.
F36H9.7,F36H9.7,,-1.33,0.04,F36H9.7,WBGene00018115,Public name for WBGene00018115. History: N.A.
F37A8.5,F37A8.5,,3.93,0.0028,F37A8.5,WBGene00009503,Public name for WBGene00009503. History: N.A.
F37B1.8,F37B1.8,gst-19,-1.46,0.049,F37B1.8,WBGene00001767,Sequence name for WBGene00001767(gst-19). History: N.A.
F37B12.2,F37B12.2.2,gcs-1,-1.42,0.02,F37B12.2,WBGene00001527,Sequence name for WBGene00001527(gcs-1). History: N.A.
F37B4.11,F37B4.11,srj-54,-1.59,0.02,F37B4.11,WBGene00005633,Sequence name for WBGene00005633(srj-54). History: N.A.
F37B4.3,F37B4.3,srh-243,-1.34,0.049,F37B4.3,WBGene00005449,Sequence name for WBGene00005449(srh-243). History: N.A.
F37B4.6,F37B4.6,srh-241,-2.09,0.047,F37B4.6,WBGene00005448,Sequence name for WBGene00005448(srh-241). History: N.A.
F37C12.10,F37C12.10,,1.62,0.022,F37C12.10,WBGene00018153,Public name for WBGene00018153. History: N.A.
F37C12.12,F37C12.12,mec-14,-1.44,0.044,F37C12.12,WBGene00003176,Sequence name for WBGene00003176(mec-14). History: N.A.
F37C12.17,F37C12.17,srb-7,1.75,0.043,F37C12.17,WBGene00005072,Sequence name for WBGene00005072(srb-7). History: N.A.
F37C12.3,F37C12.3.2,,1.77,0.026,F37C12.3,WBGene00018151,Public name for WBGene00018151. History: N.A.
F37D6.4,F37D6.4,,-1.36,0.041,F37D6.4,WBGene00009510,Public name for WBGene00009510. History: N.A.
F37H8.2,F37H8.2,,2.45,0.0066,F37H8.2,WBGene00009511,Public name for WBGene00009511. History: N.A.
F37H8.3,F37H8.3,,1.48,0.028,F37H8.3,WBGene00009512,Sequence name for WBGene00009512(bigr-1). History: N.A.
F38A1.5,F38A1.5,clec-166,1.46,0.041,F38A1.5,WBGene00009518,Sequence name for WBGene00009518(clec-166). History: N.A.
F38A1.8,F38A1.8,,1.42,0.047,F38A1.8,WBGene00009521,Public name for WBGene00009521. History: N.A.
F38A5.2,F38A5.2a,,-1.4,0.03,F38A5.2,WBGene00018161,Public name for WBGene00018161. History: N.A.
F38A6.1,F38A6.1a,pha-4,-1.52,0.017,F38A6.1,WBGene00004013,Sequence name for WBGene00004013(pha-4). History: N.A.
F38B2.3,F38B2.3,,-1.72,0.0079,F38B2.3,WBGene00009530,"Public name for WBGene00009530. History: Split into F38B2.6(WBGene00194663). History of WBGene00009530: Split into ""WBGene00194663"" on 2009-06-12"
F38B7.1,F38B7.1a,,-1.41,0.038,F38B7.1,WBGene00009532,Sequence name for WBGene00009532(ccch-1). History: N.A.
F38B7.6,F38B7.6,srx-71,-1.46,0.046,F38B7.6,WBGene00005962,Sequence name for WBGene00005962(srx-71). History: N.A.
F38C2.1,F38C2.1,,1.48,0.023,F38C2.1,WBGene00009535,Public name for WBGene00009535. History: N.A.
F38E1.10,F38E1.10,,-5.7,0.0046,F38E1.10,WBGene00018182,Public name for WBGene00018182. History: N.A.
F38E1.8,F38E1.8,srsx-22,-1.47,0.041,F38E1.8,WBGene00018180,Sequence name for WBGene00018180(srsx-22). History: N.A.
F39C12.1,F39C12.1,,-1.42,0.043,F39C12.1,WBGene00018193,Public name for WBGene00018193. History: N.A.
F39C12.3,F39C12.3b,tsp-14,-1.62,0.018,F39C12.3,WBGene00006640,Sequence name for WBGene00006640(tsp-14). History: N.A.
F39D8.4,F39D8.4,nas-13,-1.61,0.037,F39D8.4,WBGene00003532,Sequence name for WBGene00003532(nas-13). History: N.A.
F39E9.1,F39E9.1,,-2.91,0.0015,F39E9.1,WBGene00018194,"Public name for WBGene00018194. History: Split into ""WBGene00195075"" on 2010-04-22"
F39E9.11,F39E9.11,btb-17,1.38,0.049,F39E9.11,WBGene00018200,Sequence name for WBGene00018200(btb-17). History: N.A.
F39E9.9,F39E9.9,,3.08,0.017,F39E9.9,WBGene00023282,Public name for WBGene00023282. History: N.A.
F39F10.4,F39F10.4,,1.35,0.048,F39F10.4,WBGene00018204,Public name for WBGene00018204. History: N.A.
F39H11.1,F39H11.1,,1.36,0.028,F39H11.1,WBGene00009565,Public name for WBGene00009565. History: N.A.
F39H11.2,F39H11.2a,tlf-1,-1.75,0.012,F39H11.2,WBGene00006577,Sequence name for WBGene00006577(tlf-1). History: N.A.
F40A3.5,F40A3.5,,1.48,0.041,F40A3.5,WBGene00077712,"Sequence name for WBGene00077712(nipi-4). History: N.A.. Public name for Dead gene WBGene00018220. History of WBGene00018220: Merged into ""WBGene00077712"" on 2012-04-12"
F40B1.1,F40B1.1,bath-13,2.35,0.00014,F40B1.1,WBGene00018223,Sequence name for WBGene00018223(bath-13). History: N.A.
F40B5.1,F40B5.1,,1.62,0.037,F40B5.1,WBGene00018225,Sequence name for WBGene00018225(nep-14). History: N.A.
F40C5.1,F40C5.1,,2.01,0.0065,F40C5.1,WBGene00018228,Public name for WBGene00018228. History: N.A.
F40D4.13,F40D4.13,,1.76,0.0023,F40D4.13,WBGene00009572,Public name for WBGene00009572. History: N.A.
F40D4.3,F40D4.3,srh-159,-1.46,0.0073,F40D4.3,WBGene00005375,Sequence name for WBGene00005375(srh-159). History: N.A.
F40D4.6,F40D4.6,srbc-25,2.2,0.02,F40D4.6,WBGene00009567,Sequence name for WBGene00009567(srbc-25). History: N.A.
F40D4.8,F40D4.8,srw-51,-1.55,0.033,F40D4.8,WBGene00005798,Sequence name for WBGene00005798(srw-51). History: N.A.
F40E10.6,F40E10.6.1,,-1.35,0.048,F40E10.6,WBGene00009574,Public name for WBGene00009574. History: N.A.
F40F11.3,F40F11.3,,1.76,0.0048,F40F11.3,WBGene00009588,Public name for WBGene00009588. History: N.A.
F40F12.10,F40F12.10,,1.51,0.036,F40F12.10,WBGene00195314,"Public name for WBGene00195314. History: N.A.. Other name for Dead gene WBGene00044890. History of WBGene00044890: Merged into ""WBGene00043995"" on 2010-03-17"
