spermatogenesis genes,Input,Suggested Match,History
ZK930.4,ZK930.4,WBGene00014154,Public name for WBGene00014154. History: N.A.
ZK930.5,ZK930.5,WBGene00014155,Public name for WBGene00014155. History: N.A.
ZK930.6,ZK930.6,WBGene00014156,Public name for WBGene00014156. History: N.A.
ZK930.7,ZK930.7,WBGene00014157,Public name for WBGene00014157. History: N.A.
ZK938.1,ZK938.1,WBGene00014158,Public name for WBGene00014158. History: N.A.
ZK945.6,ZK945.6,WBGene00014168,Public name for WBGene00014168. History: N.A.
ZK945.7,ZK945.7,WBGene00014169,Public name for WBGene00014169. History: N.A.
ZK973.8,ZK973.8,WBGene00022834,Public name for WBGene00022834. History: N.A.
spermatogenesis genes,Input,Suggested Match,History
AH10.1,AH10.1,WBGene00007082,Sequence name for WBGene00007082(acs-10). History: N.A.
AH6.2,AH6.2,WBGene00007080,Sequence name for WBGene00007080(sfxn-1.1). History: N.A.
AH6.3,AH6.3,WBGene00007081,Public name for WBGene00007081. History: N.A.
B0001.1,B0001.1,WBGene00003010,"Sequence name for WBGene00003010(lin-24). History: N.A.. Public name for Dead gene WBGene00007086. History of WBGene00007086: Merged into ""WBGene00003010"" on 2007-02-05"
B0041.1,B0041.1,WBGene00015006,Public name for WBGene00015006. History: N.A.
B0207.1,B0207.1,WBGene00015026,Public name for WBGene00015026. History: N.A.
B0218.7,B0218.7,WBGene00015051,Public name for WBGene00015051. History: N.A.
B0252.5,B0252.5,WBGene00015089,"Public name for WBGene00015089. History: Split into B0252.11(WBGene00305086). History of WBGene00015089: Split into ""WBGene00305086"" on 2019-10-21"
B0261.6,B0261.6,WBGene00015094,Public name for WBGene00015094. History: N.A.
B0273.1,B0273.1,WBGene00015097,Public name for WBGene00015097. History: N.A.
B0280.11,B0280.11,WBGene00015106,"Public name for WBGene00015106. History: Split into B0280.17(WBGene00044674). History of WBGene00015106: Split into ""WBGene00044674"" on 2005-11-18"
B0379.2,B0379.2,WBGene00007156,Public name for WBGene00007156. History: N.A.
B0379.7,B0379.7,WBGene00007159,Public name for WBGene00007159. History: N.A.
B0393.4,B0393.4,WBGene00007169,Public name for WBGene00007169. History: N.A.
B0432.11,B0432.11,WBGene00015192,Public name for WBGene00015192. History: N.A.
B0432.12,B0432.12,WBGene00015193,Sequence name for WBGene00015193(clec-117). History: N.A.
B0491.3,B0491.3,WBGene00007190,Sequence name for WBGene00007190(rmd-3). History: N.A.
B0496.6,B0496.6,WBGene00015215,Public name for WBGene00015215. History: N.A.
B0511.3,B0511.3,WBGene00015229,Sequence name for WBGene00015229(fbxa-125). History: N.A.
B0511.4,B0511.4,WBGene00015230,Sequence name for WBGene00015230(tag-344). History: N.A.
B0513.6,B0513.6,WBGene00007198,Public name for WBGene00007198. History: N.A.
B0523.1,B0523.1,WBGene00002212,Sequence name for WBGene00002212(kin-31). History: N.A.
BE10.1,BE10.1,WBGene00007209,Public name for WBGene00007209. History: N.A.
C01F6.2,C01F6.2,WBGene00007222,Public name for WBGene00007222. History: N.A.
C01G10.1,C01G10.1,WBGene00007230,Public name for WBGene00007230. History: N.A.
C01G10.14,C01G10.14,WBGene00007239,"Public name for WBGene00007239. History: Split into C01G10.19(WBGene00077584). History of WBGene00007239: Split into ""WBGene00077584"" on 2008-02-06"
C01G12.3,C01G12.3,WBGene00007244,Public name for WBGene00007244. History: N.A.
C01G12.8,C01G12.8,WBGene00007248,Sequence name for WBGene00007248(catp-4). History: N.A.
C01G5.3,C01G5.3,WBGene00015305,Public name for WBGene00015305. History: N.A.
C01G6.2,C01G6.2,WBGene00007224,Public name for WBGene00007224. History: N.A.
C02B10.6,C02B10.6,WBGene00015331,Public name for WBGene00015331. History: N.A.
C02F5.2,C02F5.2,WBGene00015345,Public name for WBGene00015345. History: N.A.
C02F5.5,C02F5.5,WBGene00015348,Public name for WBGene00015348. History: N.A.
C03B8.1,C03B8.1,WBGene00015386,"Public name for Dead gene WBGene00015384. History of WBGene00015384: Merged into ""WBGene00015386"" on 2010-06-24"
C03C11.1,C03C11.1,WBGene00007274,Public name for WBGene00007274. History: N.A.
C04E6.5,C04E6.5,WBGene00015422,Public name for WBGene00015422. History: N.A.
C04F12.7,C04F12.7,WBGene00007301,Public name for WBGene00007301. History: N.A.
C04G2.2,C04G2.2,WBGene00007305,Sequence name for WBGene00007305(ttbk-5). History: N.A.
C04G2.4,C04G2.4,WBGene00003432,Sequence name for WBGene00003432(msp-36). History: N.A.
C04G2.5,C04G2.5,WBGene00007306,Public name for WBGene00007306. History: N.A.
C04G2.9,C04G2.9,WBGene00007308,Sequence name for WBGene00007308(nsph-3.2). History: N.A.
C05B5.1,C05B5.1,WBGene00007319,Public name for WBGene00007319. History: N.A.
C05B5.2,C05B5.2,WBGene00007320,"Public name for WBGene00007320. History: Split into C05B5.17(WBGene00219314). History of WBGene00007320: Split into ""WBGene00219314"" on 2011-11-21"
C05C12.1,C05C12.1,WBGene00007335,Public name for WBGene00007335. History: N.A.
C05C12.5,C05C12.5,WBGene00007337,Public name for WBGene00007337. History: N.A.
C05D2.3,C05D2.3,WBGene00015467,Sequence name for WBGene00015467(basl-1). History: N.A.
C06A1.3,C06A1.3,WBGene00007354,Public name for WBGene00007354. History: N.A.
C06A5.2,C06A5.2,WBGene00015500,Public name for WBGene00015500. History: N.A.
C06A8.6,C06A8.6,WBGene00015516,Public name for WBGene00015516. History: N.A.
C07A9.5,C07A9.5,WBGene00007401,Public name for WBGene00007401. History: N.A.
C07E3.4,C07E3.4,WBGene00007415,"Public name for WBGene00007415. History: Split into emc-5(WBGene00195248). History of WBGene00007415: Split into ""WBGene00195248"" on 2010-08-24"
C07G1.6,C07G1.6,WBGene00015572,Public name for WBGene00015572. History: N.A.
C08F11.10,C08F11.10,WBGene00007457,Public name for WBGene00007457. History: N.A.
C08F8.4,C08F8.4,WBGene00007446,Sequence name for WBGene00007446(mboa-4). History: N.A.
C08F8.6,C08F8.6,WBGene00007448,Public name for WBGene00007448. History: N.A.
C09B9.2,C09B9.2,WBGene00015627,Public name for WBGene00015627. History: N.A.
C09B9.3,C09B9.3,WBGene00015628,"Sequence name for WBGene00015628(best-6). History: Split into C09B9.85(WBGene00220250). History of WBGene00015628: Split into ""WBGene00220250"" on 2012-08-17"
C09B9.4,C09B9.4,WBGene00015629,Public name for WBGene00015629. History: N.A.
C09B9.6,C09B9.6,WBGene00003448,Sequence name for WBGene00003448(msp-55). History: N.A.
C09B9.7,C09B9.7,WBGene00015630,Public name for WBGene00015630. History: N.A.
C09D4.3,C09D4.3,WBGene00015634,Public name for WBGene00015634. History: N.A.
C09F9.1,C09F9.1,WBGene00007478,Public name for WBGene00007478. History: N.A.
C09G5.7,C09G5.7,WBGene00007489,Public name for WBGene00007489. History: N.A.
C09G9.4,C09G9.4,WBGene00006409,Sequence name for WBGene00006409(hdl-2). History: N.A.
C09H10.9,C09H10.9,WBGene00007503,Public name for WBGene00007503. History: N.A.
C09H5.7,C09H5.7,WBGene00015661,Public name for WBGene00015661. History: N.A.
C10C6.3,C10C6.3,WBGene00007512,Public name for WBGene00007512. History: N.A.
C10G11.1,C10G11.1,WBGene00015685,Public name for WBGene00015685. History: N.A.
C10G11.9,C10G11.9,WBGene00015689,Sequence name for WBGene00015689(spch-2). History: N.A.
C10H11.7,C10H11.7,WBGene00015696,Public name for WBGene00015696. History: N.A.
C14A4.13,C14A4.13,WBGene00007563,Public name for WBGene00007563. History: N.A.
C14C10.1,C14C10.1,WBGene00007584,Public name for WBGene00007584. History: N.A.
C14C11.1,C14C11.1,WBGene00015765,Public name for WBGene00015765. History: N.A.
C15A11.2,C15A11.2,WBGene00007597,Public name for WBGene00007597. History: N.A.
C15F1.5,C15F1.5,WBGene00015796,Public name for WBGene00015796. History: N.A.
C15H11.1,C15H11.1,WBGene00007613,"Public name for WBGene00007613. History: Split into C15H11.13(WBGene00077576). History of WBGene00007613: Split into ""WBGene00077576"" on 2008-02-06"
C15H7.3,C15H7.3,WBGene00007610,Public name for WBGene00007610. History: N.A.
C15H7.4,C15H7.4,WBGene00007611,Public name for WBGene00007611. History: N.A.
C16A11.7,C16A11.7,WBGene00015820,Public name for WBGene00015820. History: N.A.
C16D2.1,C16D2.1,WBGene00007633,Public name for WBGene00007633. History: N.A.
C17C3.11,C17C3.11,WBGene00015893,Public name for WBGene00015893. History: N.A.
C17C3.9,C17C3.9,WBGene00015892,Public name for WBGene00015892. History: N.A.
C17D12.5,C17D12.5,WBGene00007639,Public name for WBGene00007639. History: N.A.
C17E4.1,C17E4.1,WBGene00007641,"Public name for WBGene00007641. History: Split into C17E4.12(WBGene00044769). History of WBGene00007641: Split into ""WBGene00044769"" on 2006-02-27"
C17F3.3,C17F3.3,WBGene00015908,Public name for WBGene00015908. History: N.A.
C17H12.12,C17H12.12,WBGene00015937,Public name for WBGene00015937. History: N.A.
C17H12.3,C17H12.3,WBGene00015929,Public name for WBGene00015929. History: N.A.
C17H12.5,C17H12.5,WBGene00015931,Public name for WBGene00015931. History: N.A.
C18A3.7,C18A3.7,WBGene00015944,Public name for WBGene00015944. History: N.A.
C18E3.1,C18E3.1,WBGene00015970,Public name for WBGene00015970. History: N.A.
C18E9.8,C18E9.8,WBGene00007688,Public name for WBGene00007688. History: N.A.
C18G1.3,C18G1.3,WBGene00015982,Sequence name for WBGene00015982(bgnt-1.4). History: N.A.
C18G1.9,C18G1.9,WBGene00015987,Public name for WBGene00015987. History: N.A.
C18H2.1,C18H2.1,WBGene00015988,"Sequence name for WBGene00015988(lido-18). History: Split into C18H2.8(WBGene00305979), C18H2.9(WBGene00305980). History of WBGene00015988: Split into ""WBGene00305979"" on 2020-01-20; Split into ""WBGene00305980"" on 2020-01-20"
C18H2.4,C18H2.4,WBGene00015991,Public name for WBGene00015991. History: N.A.
C18H7.4,C18H7.4,WBGene00015994,Public name for WBGene00015994. History: N.A.
C18H7.7,C18H7.7,WBGene00015997,Public name for WBGene00015997. History: N.A.
C24A11.1,C24A11.1,WBGene00016040,Public name for WBGene00016040. History: N.A.
C24D10.1,C24D10.1,WBGene00016053,Sequence name for WBGene00016053(ptp-5.1). History: N.A.
C24D10.2,C24D10.2,WBGene00016054,Public name for WBGene00016054. History: N.A.
C24D10.7,C24D10.7,WBGene00016058,Sequence name for WBGene00016058(nspd-3). History: N.A.
C24D10.8,C24D10.8,WBGene00043147,Sequence name for WBGene00043147(nspd-6). History: Killed on 2004-10-04; Resurrected on 2006-10-03
C24F3.5,C24F3.5,WBGene00000019,Sequence name for WBGene00000019(abt-1). History: N.A.
C24H11.1,C24H11.1,WBGene00007699,Public name for WBGene00007699. History: N.A.
C25A6.1,C25A6.1,WBGene00016081,Public name for WBGene00016081. History: N.A.
C25A8.1,C25A8.1,WBGene00016082,Public name for WBGene00016082. History: N.A.
C25A8.2,C25A8.2,WBGene00016083,Public name for WBGene00016083. History: N.A.
C25A8.5,C25A8.5,WBGene00016085,Public name for WBGene00016085. History: N.A.
C25D7.1,C25D7.1,WBGene00007714,Public name for WBGene00007714. History: N.A.
C25D7.12,C25D7.12,WBGene00007721,Public name for WBGene00007721. History: N.A.
C25G4.4,C25G4.4,WBGene00007732,Sequence name for WBGene00007732(spe-44). History: Renamed on 2011-09-22; Renamed on 2013-04-16
C25G4.6,C25G4.6,WBGene00007733,Sequence name for WBGene00007733(smz-1). History: N.A.
C26B2.2,C26B2.2,WBGene00016125,Public name for WBGene00016125. History: N.A.
C26C6.6,C26C6.6,WBGene00007740,Public name for WBGene00007740. History: N.A.
C26E6.1,C26E6.1,WBGene00016137,Public name for WBGene00016137. History: N.A.
C27D6.3,C27D6.3,WBGene00016161,Public name for WBGene00016161. History: N.A.
C27D8.1,C27D8.1,WBGene00007777,Public name for WBGene00007777. History: N.A.
C27D8.2,C27D8.2,WBGene00007778,Public name for WBGene00007778. History: N.A.
C27F2.6,C27F2.6,WBGene00016168,Public name for WBGene00016168. History: N.A.
C28A5.6,C28A5.6,WBGene00007791,Public name for WBGene00007791. History: N.A.
C28D4.7,C28D4.7,WBGene00007794,Public name for WBGene00007794. History: N.A.
C28D4.8,C28D4.8,WBGene00007795,Public name for WBGene00007795. History: N.A.
C29E6.3,C29E6.3,WBGene00004084,Sequence name for WBGene00004084(pph-2). History: N.A.
C29F5.3,C29F5.3,WBGene00016212,Public name for WBGene00016212. History: N.A.
C30A5.4,C30A5.4,WBGene00016239,Public name for WBGene00016239. History: N.A.
C30B5.3,C30B5.3,WBGene00000771,Sequence name for WBGene00000771(cpb-2). History: N.A.
C31H1.1,C31H1.1,WBGene00016286,Public name for WBGene00016286. History: N.A.
C31H1.2,C31H1.2,WBGene00016287,Public name for WBGene00016287. History: N.A.
C31H1.5,C31H1.5,WBGene00016288,Public name for WBGene00016288. History: N.A.
C32C4.3,C32C4.3,WBGene00007863,Public name for WBGene00007863. History: N.A.
C32D5.4,C32D5.4,WBGene00016312,Public name for WBGene00016312. History: N.A.
C32E12.1,C32E12.1,WBGene00016327,Public name for WBGene00016327. History: N.A.
C32E8.4,C32E8.4,WBGene00016322,Public name for WBGene00016322. History: N.A.
C33A12.15,C33A12.15,WBGene00007888,Sequence name for WBGene00007888(ttr-9). History: N.A.
C33F10.12,C33F10.12,WBGene00016358,Public name for WBGene00016358. History: N.A.
C33F10.8,C33F10.8,WBGene00016356,Public name for WBGene00016356. History: N.A.
C33F10.9,C33F10.9,WBGene00003435,Sequence name for WBGene00003435(msp-40). History: N.A.
C33H5.16,C33H5.16,WBGene00016382,Public name for WBGene00016382. History: N.A.
C34B2.3,C34B2.3,WBGene00016388,Public name for WBGene00016388. History: N.A.
C34D4.2,C34D4.2,WBGene00016398,Public name for WBGene00016398. History: N.A.
C34D4.3,C34D4.3,WBGene00016399,Public name for WBGene00016399. History: N.A.
C34F11.1,C34F11.1,WBGene00016413,Public name for WBGene00016413. History: N.A.
C34F11.2,C34F11.2,WBGene00016414,Public name for WBGene00016414. History: N.A.
C34F11.4,C34F11.4,WBGene00003443,Sequence name for WBGene00003443(msp-50). History: N.A.
C34F11.5,C34F11.5,WBGene00016416,Public name for WBGene00016416. History: N.A.
C34F11.6,C34F11.6,WBGene00003442,Sequence name for WBGene00003442(msp-49). History: N.A.
C34G6.3,C34G6.3,WBGene00016420,Public name for WBGene00016420. History: N.A.
C35D10.11,C35D10.11,WBGene00016447,Sequence name for WBGene00016447(msd-4). History: N.A.
C35D10.2,C35D10.2,WBGene00016440,Sequence name for WBGene00016440(gipc-1). History: N.A.
C35D10.3,C35D10.3,WBGene00016441,Public name for WBGene00016441. History: N.A.
C35E7.9,C35E7.9,WBGene00016461,Public name for WBGene00016461. History: N.A.
C36B1.10,C36B1.10,WBGene00007977,Sequence name for WBGene00007977(gskl-2). History: Renamed on 2021-12-09
C36H8.1,C36H8.1,WBGene00007987,Public name for WBGene00007987. History: N.A.
C37A2.3,C37A2.3,WBGene00016491,Sequence name for WBGene00016491(acdh-5). History: N.A.
C38C10.3,C38C10.3,WBGene00008001,Public name for WBGene00008001. History: N.A.
C38C3.3,C38C3.3,WBGene00016512,"Public name for WBGene00016512. History: Split into C38C3.10(WBGene00045390). History of WBGene00016512: Split into ""WBGene00045390"" on 2007-04-20"
C38C3.7,C38C3.7,WBGene00016516,"Public name for Dead gene WBGene00016515. History of WBGene00016515: Merged into ""WBGene00016516"" on 2015-07-23"
C38C3.8,C38C3.8,WBGene00016516,Public name for WBGene00016516. History: N.A.
C39H7.1,C39H7.1,WBGene00016541,Public name for WBGene00016541. History: N.A.
C40H5.1,C40H5.1,WBGene00043187,Sequence name for WBGene00043187(nspa-9). History: Killed on 2004-10-04; Resurrected on 2005-04-01
C41G7.6,C41G7.6,WBGene00008063,Sequence name for WBGene00008063(cycl-2). History: N.A.
C43E11.5,C43E11.5,WBGene00016605,Public name for WBGene00016605. History: N.A.
C43F9.6,C43F9.6,WBGene00008074,Sequence name for WBGene00008074(nkb-2). History: N.A.
C43G2.3,C43G2.3,WBGene00016612,Public name for WBGene00016612. History: N.A.
C44B9.2,C44B9.2,WBGene00008079,Public name for WBGene00008079. History: N.A.
C45G9.4,C45G9.4,WBGene00016675,Public name for WBGene00016675. History: N.A.
C45G9.9,C45G9.9,WBGene00016680,Public name for WBGene00016680. History: N.A.
C46A5.1,C46A5.1,WBGene00016698,Public name for WBGene00016698. History: N.A.
C46E10.1,C46E10.1,WBGene00016707,Public name for WBGene00016707. History: N.A.
C46H11.6,C46H11.6,WBGene00016730,Public name for WBGene00016730. History: N.A.
C47A4.3,C47A4.3,WBGene00008124,Public name for WBGene00008124. History: N.A.
C47A4.5,C47A4.5,WBGene00008125,Public name for WBGene00008125. History: N.A.
C47D12.3,C47D12.3,WBGene00008137,Sequence name for WBGene00008137(sfxn-1.4). History: N.A.
C47E12.10,C47E12.10,WBGene00008153,Public name for WBGene00008153. History: N.A.
C47E12.11,C47E12.11,WBGene00008154,Public name for WBGene00008154. History: N.A.
C47E8.1,C47E8.1,WBGene00008141,Public name for WBGene00008141. History: N.A.
C48B6.4,C48B6.4,WBGene00016742,Public name for WBGene00016742. History: N.A.
C48E7.7,C48E7.7,WBGene00016752,Public name for WBGene00016752. History: N.A.
C48E7.8,C48E7.8,WBGene00016753,Sequence name for WBGene00016753(oac-9). History: N.A.
C49C8.1,C49C8.1,WBGene00016765,Public name for WBGene00016765. History: N.A.
C49G7.1,C49G7.1,WBGene00017035,"Public name for Dead gene WBGene00016780. History of WBGene00016780: Merged into ""WBGene00017035"" on 2016-04-19"
C50D2.3,C50D2.3,WBGene00016807,Sequence name for WBGene00016807(txt-1). History: N.A.
C50E10.2,C50E10.2,WBGene00016826,Public name for WBGene00016826. History: N.A.
C50F2.5,C50F2.5,WBGene00016839,Public name for WBGene00016839. History: N.A.
C50F4.2,C50F4.2,WBGene00008230,Sequence name for WBGene00008230(pfk-1.2). History: Renamed on 2014-03-03
C50F7.3,C50F7.3,WBGene00016843,Public name for WBGene00016843. History: N.A.
C52E4.7,C52E4.7,WBGene00008259,Public name for WBGene00008259. History: N.A.
C53A5.4,C53A5.4,WBGene00007049,"Sequence name for WBGene00007049(tag-191). History: N.A.. Public name for Dead gene WBGene00008264. History of WBGene00008264: Merged into ""WBGene00007049"" on 2005-10-05"
C53B4.2,C53B4.2,WBGene00008272,Public name for WBGene00008272. History: N.A.
C54G4.3,C54G4.3,WBGene00008313,Public name for WBGene00008313. History: N.A.
C55B7.10,C55B7.10,WBGene00016946,Public name for WBGene00016946. History: N.A.
C55B7.3,C55B7.3,WBGene00016942,Public name for WBGene00016942. History: N.A.
C55C2.2,C55C2.2,WBGene00006047,Sequence name for WBGene00006047(ssp-19). History: N.A.
C55C3.3,C55C3.3,WBGene00016953,Public name for WBGene00016953. History: N.A.
C55C3.4,C55C3.4,WBGene00016954,Public name for WBGene00016954. History: N.A.
C56A3.8,C56A3.8,WBGene00008346,Public name for WBGene00008346. History: N.A.
C56C10.6,C56C10.6,WBGene00016963,Public name for WBGene00016963. History: N.A.
C56G2.5,C56G2.5,WBGene00016980,Public name for WBGene00016980. History: N.A.
D1037.5,D1037.5,WBGene00017026,Sequence name for WBGene00017026(ipla-4). History: N.A.
D1081.3,D1081.3,WBGene00008381,"Public name for WBGene00008381. History: Split into D1081.10(WBGene00045508), D1081.19(WBGene00304981). History of WBGene00008381: Split into ""WBGene00045508"" on 2007-07-26; Split into ""WBGene00304981"" on 2019-09-26"
D1081.5,D1081.5,WBGene00008383,Public name for WBGene00008383. History: N.A.
D2024.1,D2024.1,WBGene00017050,Public name for WBGene00017050. History: N.A.
D2045.5,D2045.5,WBGene00008423,Public name for WBGene00008423. History: N.A.
D2062.4,D2062.4,WBGene00017056,Public name for WBGene00017056. History: N.A.
D2062.5,D2062.5,WBGene00017057,Public name for WBGene00017057. History: N.A.
D2092.7,D2092.7,WBGene00006645,Sequence name for WBGene00006645(tsp-19). History: N.A.
E03A3.4,E03A3.4,WBGene00001944,Sequence name for WBGene00001944(his-70). History: N.A.
E03H12.10,E03H12.10,WBGene00006038,Sequence name for WBGene00006038(ssp-9). History: N.A.
E03H12.5,E03H12.5,WBGene00017112,Public name for WBGene00017112. History: N.A.
E03H12.7,E03H12.7,WBGene00017114,Public name for WBGene00017114. History: N.A.
