# Supplemental Table 2- The 'adr-1 adr-2 gene expression' tab lists genes with altered mRNA levels in adr-1(-/-);adr-2(-/-) worms compared to WT. All listed genes were statistically significant at p ≤ 0.05. There were 1,746 mRNAs increased and 1,571 mRNAs decreased ≥1.2-fold. The 'mRNAs targeted by miRNAs' tab includes information on mRNAs that are predicted targets of miRNAs. The 'Dicer Helicase dependent Loci' tab summarizes our re-analysis of data previously reported in (Welker et al. 2010), and includes all loci with a significantly different number of reads (p-value ≤0.05), as determined by Defined Region Scan Sequences (Nix et al. 2008). Only loci with ≥1.2-fold changes in the mutant strain compared to WT are reported.
Gene Locus,Chromosome,Strand,Gene chr start position,Gene chr stop position,Normalized number of WT reads,Normalized number of Dcr-1(-/-)K39A reads,Fold Change (mutant vs WT),pVal,Strand(s) affected,Input,Suggested Match,History
F26E4.9,chrI,+,9788998,9789753,10,2,-3.62,0.049,Antisense,F26E4.9,WBGene00000371,Sequence name for WBGene00000371(cox-5B). History: Renamed on 2017-09-05
F26F12.7,chrV,+,5826843,5832677,64,26,-2.41,0.00036,Antisense,F26F12.7,WBGene00002637,Sequence name for WBGene00002637(let-418). History: N.A.
F26G5.9,chrV,-,4958592,4963072,54,22,-2.4,0.0052,Antisense,F26G5.9,WBGene00006523,Sequence name for WBGene00006523(tam-1). History: N.A.
F26H11.4,chrII,+,14408652,14412096,27,13,-2.01,0.037,Antisense,F26H11.4,WBGene00009182,"Public name for WBGene00009182. History: Split into dsb-2(WBGene00194892). History of WBGene00009182: Split into ""WBGene00194892"" on 2009-12-08"
F26H9.1,chrI,+,9287437,9289761,15,3,-3.95,0.015,Antisense,F26H9.1,WBGene00009173,Sequence name for WBGene00009173(prom-1). History: N.A.
F26H9.2,chrI,-,9290226,9293998,7,0,-8.4,0.028,Antisense,F26H9.2,WBGene00009174,Public name for WBGene00009174. History: N.A.
F26H9.7,chrI,+,9310319,9312595,10,0,-10.86,0.0054,Antisense,F26H9.7,WBGene00006732,Sequence name for WBGene00006732(uev-3). History: N.A.
F27D4.2,chrI,-,7704566,7707051,20,0,-20.72,7.5e-05,Antisense,F27D4.2,WBGene00009188,"Sequence name for WBGene00009188(lsy-22). History: Split into F27D4.12(WBGene00303056). History of WBGene00009188: Split into ""WBGene00303056"" on 2018-03-02"
F28C6.2,chrII,+,8594279,8596037,52,34,-1.51,0.047,Antisense,F28C6.2,WBGene00009203,Sequence name for WBGene00009203(aptf-3). History: N.A.
F28C6.8,chrII,+,8606779,8607665,20,3,-5.18,0.0021,Antisense,F28C6.8,WBGene00009207,Public name for WBGene00009207. History: N.A.
F28D1.10,chrIV,+,12404398,12408656,44,9,-4.54,2e-05,Antisense,F28D1.10,WBGene00001580,Sequence name for WBGene00001580(gex-3). History: N.A.
F28D9.1,chrI,-,11177834,11182055,39,6,-5.78,5.5e-05,Antisense,F28D9.1,WBGene00004706,Sequence name for WBGene00004706(rsr-1). History: N.A.
F28H7.8,chrV,+,10758934,10760544,39,21,-1.84,0.025,Antisense,F28H7.8,WBGene00009241,Public name for WBGene00009241. History: N.A.
F29B9.2,chrIV,+,4660983,4665186,49,28,-1.73,0.02,Antisense,F29B9.2,WBGene00017920,Sequence name for WBGene00017920(jmjd-1.2). History: N.A.
F29G9.2,chrV,+,6018976,6026320,22,2,-7.73,0.00024,Antisense,F29G9.2,WBGene00017931,Sequence name for WBGene00017931(picc-1). History: N.A.
F30A10.10,chrI,+,9506543,9511175,35,19,-1.78,0.041,Antisense,F30A10.10,WBGene00009267,Sequence name for WBGene00009267(usp-48). History: N.A.
F30A10.9,chrI,-,9504556,9505759,12,2,-4.44,0.031,Antisense,F30A10.9,WBGene00009266,Public name for WBGene00009266. History: N.A.
F30F8.9,chrI,+,7837057,7840014,39,6,-5.78,1.1e-05,Antisense,F30F8.9,WBGene00009276,Public name for WBGene00009276. History: N.A.
F31D4.1,chrV,+,20834252,20836960,10,2,-3.62,0.049,Antisense,F31D4.1,WBGene00009289,Sequence name for WBGene00009289(exos-7). History: N.A.
F31E3.3,chrIII,+,6972145,6973636,0,10,11.0,0.043,Antisense,F31E3.3,WBGene00004340,Sequence name for WBGene00004340(rfc-4). History: N.A.
F32A11.1,chrII,+,13157242,13160312,12,2,-4.44,0.018,Antisense,F32A11.1,WBGene00009307,Public name for WBGene00009307. History: N.A.
F32D1.9,chrV,+,4371888,4373638,27,12,-2.16,0.027,Antisense,F32D1.9,WBGene00017988,Sequence name for WBGene00017988(fipp-1). History: N.A.
F32H2.1,chrI,+,8962313,8966110,35,14,-2.37,0.0081,Antisense,F32H2.1,WBGene00001568,Sequence name for WBGene00001568(snpc-4). History: Renamed on 2013-07-04
F33H2.1,chrI,-,15017265,15022967,20,4,-4.14,0.011,Antisense,F33H2.1,WBGene00001049,Sequence name for WBGene00001049(dog-1). History: N.A.
F34D10.4,chrIII,+,3736602,3739351,195,101,-1.92,8.9e-07,Antisense,F34D10.4,WBGene00009374,Public name for WBGene00009374. History: N.A.
F35F11.1,chrIV,+,4042567,4047779,25,11,-2.14,0.035,Antisense,F35F11.1,WBGene00018064,Sequence name for WBGene00018064(cdc-73). History: N.A.
F35G12.4,chrIII,+,4578821,4581649,15,3,-3.95,0.015,Antisense,F35G12.4,WBGene00009441,Sequence name for WBGene00009441(wdr-48). History: N.A.
F36A2.1,chrI,-,8804794,8808041,12,1,-6.66,0.012,Antisense,F36A2.1,WBGene00009451,Sequence name for WBGene00009451(cids-2). History: N.A.
F36A2.2,chrI,-,8801740,8804689,7,0,-8.4,0.028,Antisense,F36A2.2,WBGene00009452,Public name for WBGene00009452. History: N.A.
F36A4.7,chrIV,+,4248062,4258156,192,105,-1.82,4e-06,Antisense,F36A4.7,WBGene00000123,Sequence name for WBGene00000123(ama-1). History: Renamed on 2007-10-04
F36D3.1,chrV,+,16499323,16502840,7,0,-8.4,0.02,Antisense,F36D3.1,WBGene00009469,Public name for WBGene00009469. History: N.A.
F36D3.4,chrV,-,16516450,16517676,7,0,-8.4,0.028,Antisense,F36D3.4,WBGene00009470,Public name for WBGene00009470. History: N.A.
F36D4.5,chrV,-,9419267,9425735,27,7,-3.51,0.0069,Antisense,F36D4.5,WBGene00018090,Public name for WBGene00018090. History: N.A.
F37C12.3,chrIII,+,7180690,7181708,7,0,-8.4,0.02,Antisense,F37C12.3,WBGene00018151,Public name for WBGene00018151. History: N.A.
F38A5.2,chrIV,-,6582686,6585384,20,6,-2.96,0.035,Antisense,F38A5.2,WBGene00018161,Public name for WBGene00018161. History: N.A.
F39B2.1,chrI,+,14791041,14794042,17,6,-2.61,0.037,Antisense,F39B2.1,WBGene00009553,Sequence name for WBGene00009553(hinf-1). History: N.A.
F41H10.11,chrIV,+,5366855,5368854,15,3,-3.95,0.015,Antisense,F41H10.11,WBGene00018321,Sequence name for WBGene00018321(sand-1). History: N.A.
F42A10.5,chrIII,-,6171746,6172716,15,3,-3.95,0.027,Antisense,F42A10.5,WBGene00018341,Public name for WBGene00018341. History: N.A.
F42G9.1,chrIII,+,783708,786069,32,9,-3.3,0.0016,Antisense,F42G9.1,WBGene00018362,Sequence name for WBGene00018362(ppm-1.G). History: N.A.
F43E2.1,chrII,+,7375217,7377520,84,54,-1.54,0.012,Antisense,F43E2.1,WBGene00018390,Public name for WBGene00018390. History: N.A.
F44A2.1,chrV,+,9323183,9327182,32,12,-2.54,0.007,Antisense,F44A2.1,WBGene00006499,"Sequence name for WBGene00006499(tag-153). History: N.A.. Public name for Dead gene WBGene00018401. History of WBGene00018401: Merged into ""WBGene00006499"" on 2004-05-28"
F44B9.3,chrIII,+,8010706,8013642,116,59,-1.95,9.7e-05,Antisense,F44B9.3,WBGene00000508,Sequence name for WBGene00000508(cit-1.2). History: N.A.
F44B9.6,chrIII,-,8016576,8020802,12,2,-4.44,0.031,Antisense,F44B9.6,WBGene00003021,Sequence name for WBGene00003021(lin-36). History: N.A.
F44G4.1,chrII,+,8994554,8996188,12,1,-6.66,0.0067,Antisense,F44G4.1,WBGene00009711,Public name for WBGene00009711. History: N.A.
F44G4.4,chrII,+,8997745,8999640,25,7,-3.21,0.0058,Antisense,F44G4.4,WBGene00006514,Sequence name for WBGene00006514(tdp-1). History: Renamed on 2008-11-20
F45E12.3,chrII,+,7302040,7305688,17,2,-6.09,0.0022,Antisense,F45E12.3,WBGene00000839,Sequence name for WBGene00000839(cul-4). History: N.A.
F46F11.2,chrI,+,5619604,5620498,25,11,-2.14,0.035,Antisense,F46F11.2,WBGene00000473,Sequence name for WBGene00000473(cey-2). History: N.A.
F47D12.4,chrIII,+,6280327,6282361,27,6,-4.02,0.0013,Antisense,F47D12.4,WBGene00001972,Sequence name for WBGene00001972(hmg-1.2). History: N.A.
F48G7.6,chrV,-,623925,625023,74,109,-0.68,0.012,Antisense,F48G7.6,WBGene00018617,Sequence name for WBGene00018617(srt-17). History: N.A.
F49B2.3,chrI,+,14310995,14312858,12,0,-13.33,0.0014,Antisense,F49B2.3,WBGene00009863,Public name for WBGene00009863. History: N.A.
F49D11.10,chrI,-,10926903,10933696,17,5,-3.04,0.042,Antisense,F49D11.10,WBGene00045433,Public name for WBGene00045433. History: N.A.
F52B10.1,chrX,+,2909547,2918028,7,0,-8.4,0.02,Antisense,F52B10.1,WBGene00003776,Sequence name for WBGene00003776(nmy-1). History: N.A.
F52C9.7,chrIII,+,5308560,5311036,15,5,-2.63,0.049,Antisense,F52C9.7,WBGene00003391,"Sequence name for WBGene00003391(mog-3). History: N.A.. Public name for Dead gene WBGene00018677. History of WBGene00018677: Merged into ""WBGene00003391"" on 2012-08-14"
F52C9.8,chrIII,+,5311204,5321691,32,15,-2.07,0.022,Antisense,F52C9.8,WBGene00004095,Sequence name for WBGene00004095(pqe-1). History: N.A.
F53A2.4,chrIII,+,13341406,13342487,32,9,-3.3,0.0016,Antisense,F53A2.4,WBGene00003829,Sequence name for WBGene00003829(nud-1). History: N.A.
F53A2.8,chrIII,+,13346964,13355340,10,2,-3.62,0.049,Antisense,F53A2.8,WBGene00003478,Sequence name for WBGene00003478(mtm-6). History: N.A.
F53A3.4,chrIII,+,1931971,1939557,20,5,-3.45,0.0094,Antisense,F53A3.4,WBGene00004128,Sequence name for WBGene00004128(pqn-41). History: N.A.
F53B1.2,chrX,+,2108976,2111716,20,43,-0.47,0.042,Antisense,F53B1.2,WBGene00018735,Public name for WBGene00018735. History: N.A.
F53E10.6,chrV,-,2602241,2603059,10,1,-5.43,0.033,Antisense,F53E10.6,WBGene00018762,Public name for WBGene00018762. History: N.A.
F53F10.5,chrI,+,3818080,3821326,44,17,-2.52,0.0019,Antisense,F53F10.5,WBGene00003797,Sequence name for WBGene00003797(npp-11). History: N.A.
F53F4.12,chrV,+,13626028,13627392,22,5,-3.86,0.0039,Antisense,F53F4.12,WBGene00009994,Public name for WBGene00009994. History: N.A.
F53G12.7,chrI,+,115738,117438,22,7,-2.9,0.013,Antisense,F53G12.7,WBGene00000622,Sequence name for WBGene00000622(col-45). History: N.A.
F54A3.1,chrII,+,2249407,2253961,52,29,-1.76,0.016,Antisense,F54A3.1,WBGene00018781,"Public name for Dead gene WBGene00018780. History of WBGene00018780: Merged into ""WBGene00018781"" on 2010-05-28"
F54A3.3,chrII,+,2233540,2243540,17,6,-2.61,0.037,Antisense,F54A3.3,WBGene00018782,Sequence name for WBGene00018782(cct-3). History: N.A.
F54C8.2,chrIII,+,9433974,9434997,22,5,-3.86,0.0039,Antisense,F54C8.2,WBGene00010036,Sequence name for WBGene00010036(cpar-1). History: N.A.
F54C8.4,chrIII,-,9441457,9443527,17,5,-3.04,0.042,Antisense,F54C8.4,WBGene00010037,Public name for WBGene00010037. History: N.A.
F54D11.2,chrV,+,4617932,4627566,57,17,-3.21,4.8e-05,Antisense,F54D11.2,WBGene00018812,"Sequence name for WBGene00018812(sumv-2). History: Merged into ""WBGene00018814"" on 2012-01-23; Resurrected on 2012-06-29"
F54D11.4,chrV,+,4616167,4617746,25,5,-4.28,0.0015,Antisense,F54D11.4,WBGene00018814,"Public name for WBGene00018814. History: Split into sumv-2(WBGene00018812). History of WBGene00018814: Split into ""WBGene00018812"" on 2014-06-11"
F54D8.4,chrIII,-,5083166,5085250,22,5,-3.86,0.0093,Antisense,F54D8.4,WBGene00000279,Sequence name for WBGene00000279(cah-1). History: N.A.
F54D8.6,chrIII,+,5101945,5106914,15,1,-7.9,0.0021,Antisense,F54D8.6,WBGene00018802,Public name for WBGene00018802. History: N.A.
F54E12.2,chrIV,-,11333212,11336834,44,15,-2.84,0.0034,Antisense,F54E12.2,WBGene00010061,Public name for WBGene00010061. History: N.A.
F54F11.3,chrII,+,13517819,13522833,12,3,-3.33,0.038,Antisense,F54F11.3,WBGene00010071,Sequence name for WBGene00010071(sre-45). History: N.A.
F55A3.2,chrI,+,10793389,10798030,7,0,-8.4,0.02,Antisense,F55A3.2,WBGene00018848,Public name for WBGene00018848. History: N.A.
F55A3.3,chrI,+,10789118,10793136,27,12,-2.16,0.027,Antisense,F55A3.3,WBGene00018849,Sequence name for WBGene00018849(spt-16). History: N.A.
F55A3.6,chrI,-,10783988,10784780,79,23,-3.33,1.9e-05,Antisense,F55A3.6,WBGene00018851,Public name for WBGene00018851. History: N.A.
F55A3.7,chrI,-,10785116,10787852,12,1,-6.66,0.012,Antisense,F55A3.7,WBGene00018852,Public name for WBGene00018852. History: N.A.
F55F10.1,chrIV,+,4360842,4386526,47,18,-2.52,0.0014,Antisense,F55F10.1,WBGene00018898,Public name for WBGene00018898. History: N.A.
F55F8.4,chrI,-,5653918,5655823,10,1,-5.43,0.033,Antisense,F55F8.4,WBGene00018892,Sequence name for WBGene00018892(cir-1). History: N.A.
F56B3.8,chrIV,+,773236,776628,12,2,-4.44,0.018,Antisense,F56B3.8,WBGene00018932,Sequence name for WBGene00018932(mrpl-2). History: N.A.
F56C9.1,chrIII,+,7336513,7343559,39,23,-1.69,0.041,Antisense,F56C9.1,WBGene00001748,Sequence name for WBGene00001748(gsp-2). History: N.A.
F56D2.3,chrIII,+,5584641,5587008,32,10,-3.0,0.0027,Antisense,F56D2.3,WBGene00018965,Public name for WBGene00018965. History: N.A.
F57B9.2,chrIII,+,6946700,6958814,52,31,-1.65,0.025,Antisense,F57B9.2,WBGene00002845,"Sequence name for WBGene00002845(let-711). History: Renamed on 2007-04-12. Public name for Dead gene WBGene00003824. History of WBGene00003824: Merged into ""WBGene00002845"" on 2006-09-21"
F57B9.6,chrIII,+,6929974,6931889,79,45,-1.74,0.0041,Antisense,F57B9.6,WBGene00002083,Sequence name for WBGene00002083(inf-1). History: N.A.
F57C2.6,chrII,+,14528656,14534018,15,2,-5.26,0.0065,Antisense,F57C2.6,WBGene00010198,Sequence name for WBGene00010198(spat-1). History: N.A.
F57C9.5,chrI,+,4827072,4829769,47,21,-2.17,0.0045,Antisense,F57C9.5,WBGene00002034,Sequence name for WBGene00002034(htp-3). History: N.A.
F58B3.6,chrIV,+,11636617,11638164,32,5,-5.51,8.4e-05,Antisense,F58B3.6,WBGene00010232,Public name for WBGene00010232. History: N.A.
F58B3.7,chrIV,+,11638285,11640048,17,6,-2.61,0.037,Antisense,F58B3.7,WBGene00010233,Sequence name for WBGene00010233(rbm-17). History: N.A.
F58G1.1,chrII,+,12919485,12923286,101,54,-1.86,0.00052,Antisense,F58G1.1,WBGene00010263,Sequence name for WBGene00010263(wago-4). History: N.A.
F59A2.3,chrIII,+,3396575,3397435,44,14,-3.02,0.00046,Antisense,F59A2.3,WBGene00010303,Sequence name for WBGene00010303(cri-3). History: N.A.
F59E12.1,chrII,+,5654486,5657343,10,2,-3.62,0.049,Antisense,F59E12.1,WBGene00019118,Public name for WBGene00019118. History: N.A.
H04J21.3,chrIII,+,2347576,2362042,42,18,-2.26,0.0053,Antisense,H04J21.3,WBGene00001589,Sequence name for WBGene00001589(gip-1). History: N.A.
H05C05.1,chrIII,+,2947080,2960564,15,4,-3.16,0.029,Antisense,H05C05.1,WBGene00019157,Public name for WBGene00019157. History: N.A.
H05L14.2,chrI,+,7981587,7993131,44,19,-2.27,0.0041,Antisense,H05L14.2,WBGene00010367,"Public name for WBGene00010367. History: Split into H05L14.3(WBGene00271605). History of WBGene00010367: Split into ""WBGene00271605"" on 2017-03-02"
H06H21.11,chrIV,-,4806686,4807282,7,0,-8.4,0.028,Antisense,H06H21.11,WBGene00044483,Public name for WBGene00044483. History: N.A.
H06I04.1,chrIII,+,3091836,3100458,12,3,-3.33,0.038,Antisense,H06I04.1,WBGene00019167,Public name for WBGene00019167. History: N.A.
H21P03.3,chrIV,-,11482974,11498138,20,4,-4.14,0.011,Antisense,H21P03.3,WBGene00004892,Sequence name for WBGene00004892(sms-1). History: N.A.
H25P06.2,chrI,+,11323518,11333132,30,13,-2.18,0.02,Antisense,H25P06.2,WBGene00000410,Sequence name for WBGene00000410(cdk-9). History: N.A.
H27M09.2,chrI,+,6850418,6851211,10,2,-3.62,0.049,Antisense,H27M09.2,WBGene00019246,Sequence name for WBGene00019246(rpb-5). History: Renamed on 2015-03-04
H38K22.3,chrIII,+,4317673,4320300,7,0,-8.4,0.02,Antisense,H38K22.3,WBGene00006478,Sequence name for WBGene00006478(tag-131). History: N.A.
JC8.6,chrIV,+,13241019,13243337,22,4,-4.64,0.0018,Antisense,JC8.6,WBGene00003037,"Sequence name for WBGene00003037(lin-54). History: N.A.. Public name for Dead gene WBGene00010438. History of WBGene00010438: Merged into ""WBGene00003037"" on 2006-12-04"
K01C8.3,chrII,+,8270538,8273515,20,8,-2.3,0.042,Antisense,K01C8.3,WBGene00006562,Sequence name for WBGene00006562(tdc-1). History: N.A.
K01C8.7,chrII,+,8276274,8277543,15,1,-7.9,0.0021,Antisense,K01C8.7,WBGene00010459,Sequence name for WBGene00010459(slc-25A32). History: N.A.
K02D10.5,chrIII,+,8776159,8778381,20,7,-2.59,0.028,Antisense,K02D10.5,WBGene00019305,Sequence name for WBGene00019305(snap-29). History: Renamed on 2009-07-21
K02F2.4,chrI,+,6812700,6814049,17,4,-3.65,0.012,Antisense,K02F2.4,WBGene00006740,Sequence name for WBGene00006740(ulp-5). History: Renamed on 2014-03-28; Renamed on 2014-09-02
K03B4.1,chrV,+,4689315,4691595,10,2,-3.62,0.049,Antisense,K03B4.1,WBGene00019353,Public name for WBGene00019353. History: N.A.
K04D7.1,chrIV,+,10176680,10177801,42,25,-1.65,0.041,Antisense,K04D7.1,WBGene00010556,Sequence name for WBGene00010556(rack-1). History: N.A.
K04F10.7,chrI,+,6366362,6368085,20,7,-2.59,0.028,Antisense,K04F10.7,WBGene00019399,Public name for WBGene00019399. History: N.A.
K04G2.8,chrI,+,8050036,8055460,25,11,-2.14,0.035,Antisense,K04G2.8,WBGene00000156,Sequence name for WBGene00000156(apr-1). History: N.A.
K05C4.2,chrI,-,14720707,14721326,27,10,-2.56,0.03,Antisense,K05C4.2,WBGene00010579,Public name for WBGene00010579. History: N.A.
K05C4.7,chrI,+,14737689,14738722,20,6,-2.96,0.017,Antisense,K05C4.7,WBGene00010583,Public name for WBGene00010583. History: N.A.
K07A12.2,chrI,-,8676658,8681312,81,38,-2.11,0.0033,Antisense,K07A12.2,WBGene00010621,Sequence name for WBGene00010621(egg-6). History: N.A.
K08E3.3,chrIII,+,13755878,13759307,17,5,-3.04,0.022,Antisense,K08E3.3,WBGene00010663,"Sequence name for WBGene00010663(toca-2). History: Split into mlc-7(WBGene00023451). History of WBGene00010663: Split into ""WBGene00023451"" on 2004-07-22"
K08E7.3,chrIV,+,12567825,12570575,54,27,-1.97,0.0055,Antisense,K08E7.3,WBGene00002368,Sequence name for WBGene00002368(let-99). History: N.A.
K08H10.1,chrV,+,10020534,10022469,37,19,-1.9,0.024,Antisense,K08H10.1,WBGene00002263,Sequence name for WBGene00002263(lea-1). History: N.A.
K08H10.2,chrV,+,10022469,10028131,30,13,-2.18,0.02,Antisense,K08H10.2,WBGene00002263,"Public name for Dead gene WBGene00010695. History of WBGene00010695: Merged into ""WBGene00002263"" on 2011-01-21"
K09B11.2,chrIV,+,13422467,13429314,10,2,-3.62,0.049,Antisense,K09B11.2,WBGene00010709,Sequence name for WBGene00010709(nol-9). History: N.A.
K09H11.3,chrV,+,5717888,5722064,168,73,-2.28,6.8e-08,Antisense,K09H11.3,WBGene00019600,Sequence name for WBGene00019600(rga-3). History: N.A.
K09H9.8,chrI,-,3138539,3140571,15,3,-3.95,0.027,Antisense,K09H9.8,WBGene00045387,Public name for WBGene00045387. History: N.A.
K10D2.1,chrIII,+,5188695,5196644,30,14,-2.04,0.028,Antisense,K10D2.1,WBGene00019627,"Sequence name for WBGene00019627(hira-1). History: Split into K10D2.8(WBGene00189952). History of WBGene00019627: Split into ""WBGene00189952"" on 2009-04-20"
K10E9.1,chrI,+,189653,202489,32,14,-2.2,0.015,Antisense,K10E9.1,WBGene00000227,"Public name for Dead gene WBGene00019634. History of WBGene00019634: Merged into ""WBGene00000227"" on 2012-06-25"
K10G6.3,chrII,+,3961682,3972128,47,16,-2.81,0.00059,Antisense,K10G6.3,WBGene00004751,Sequence name for WBGene00004751(sea-2). History: N.A.
K11H3.3,chrIII,+,9851751,9853720,12,2,-4.44,0.018,Antisense,K11H3.3,WBGene00010780,Public name for WBGene00010780. History: N.A.
M01E11.3,chrI,+,5573245,5576745,39,20,-1.93,0.018,Antisense,M01E11.3,WBGene00019712,Sequence name for WBGene00019712(rmh-1). History: N.A.
M01F1.4,chrIII,-,3505634,3510017,10,0,-10.86,0.0086,Antisense,M01F1.4,WBGene00010810,Public name for WBGene00010810. History: N.A.
M01G5.1,chrIII,+,1498005,1508529,12,3,-3.33,0.038,Antisense,M01G5.1,WBGene00019715,Public name for WBGene00019715. History: N.A.
M01H9.3,chrIV,-,4468526,4477054,20,5,-3.45,0.02,Antisense,M01H9.3,WBGene00019719,Public name for WBGene00019719. History: N.A.
M03A1.6,chrII,-,4590900,4598990,15,3,-3.95,0.027,Antisense,M03A1.6,WBGene00019747,Sequence name for WBGene00019747(ipla-1). History: N.A.
M03C11.7,chrIII,-,10424108,10427870,12,1,-6.66,0.012,Antisense,M03C11.7,WBGene00010844,Sequence name for WBGene00010844(prp-3). History: N.A.
M03C11.8,chrIII,-,10428214,10435870,39,8,-4.49,0.00028,Antisense,M03C11.8,WBGene00010845,Public name for WBGene00010845. History: N.A.
M04B2.1,chrIV,+,11524612,11527927,104,68,-1.51,0.0071,Antisense,M04B2.1,WBGene00003218,Sequence name for WBGene00003218(mep-1). History: N.A.
M04B2.3,chrIV,+,11521271,11522099,0,11,12.0,0.031,Antisense,M04B2.3,WBGene00001585,Sequence name for WBGene00001585(gfl-1). History: N.A.
M110.4,chrII,+,8217162,8222302,76,20,-3.69,4.5e-07,Antisense,M110.4,WBGene00002066,Sequence name for WBGene00002066(ifg-1). History: N.A.
R01B10.5,chrV,-,6048543,6051214,22,7,-2.9,0.028,Antisense,R01B10.5,WBGene00019807,Sequence name for WBGene00019807(jamp-1). History: N.A.
R01H10.8,chrIII,+,10271150,10278473,15,5,-2.63,0.049,Antisense,R01H10.8,WBGene00000564,Sequence name for WBGene00000564(cnk-1). History: N.A.
R02D3.1,chrIV,+,245120,251923,20,4,-4.14,0.0048,Antisense,R02D3.1,WBGene00019819,Sequence name for WBGene00019819(aass-1). History: N.A.
R02D3.2,chrIV,+,240551,244129,12,2,-4.44,0.018,Antisense,R02D3.2,WBGene00019820,Sequence name for WBGene00019820(cogc-8). History: N.A.
R02F2.1,chrIII,+,5501818,5506354,27,12,-2.16,0.027,Antisense,R02F2.1,WBGene00019831,Public name for WBGene00019831. History: N.A.
R02F2.9,chrIII,+,5499181,5499925,15,1,-7.9,0.0021,Antisense,R02F2.9,WBGene00019838,Public name for WBGene00019838. History: N.A.
R05G6.4,chrIV,+,7513214,7514443,15,3,-3.95,0.015,Antisense,R05G6.4,WBGene00019898,Public name for WBGene00019898. History: N.A.
R05H10.2,chrII,+,14857160,14866490,15,4,-3.16,0.029,Antisense,R05H10.2,WBGene00011043,Sequence name for WBGene00011043(rbm-28). History: N.A.
R06A4.2,chrII,+,14361924,14364777,42,12,-3.3,0.00034,Antisense,R06A4.2,WBGene00011047,Sequence name for WBGene00011047(tebp-1). History: Renamed on 2021-04-19
R06A4.9,chrII,+,14358388,14361388,32,8,-3.67,0.00085,Antisense,R06A4.9,WBGene00011051,Sequence name for WBGene00011051(pfs-2). History: N.A.
R06B10.5,chrIII,+,983247,988273,0,12,13.0,0.023,Antisense,R06B10.5,WBGene00019915,Sequence name for WBGene00019915(tbc-10). History: N.A.
R06C7.1,chrI,+,7235381,7238787,39,13,-2.89,0.0013,Antisense,R06C7.1,WBGene00011061,Sequence name for WBGene00011061(wago-1). History: N.A.
R06C7.8,chrI,+,7251938,7255223,136,49,-2.73,2.2e-08,Antisense,R06C7.8,WBGene00000275,Sequence name for WBGene00000275(bub-1). History: N.A.
R06C7.9,chrI,+,7255508,7258698,15,2,-5.26,0.0065,Antisense,R06C7.9,WBGene00011066,Sequence name for WBGene00011066(ztf-15). History: N.A.
R07B7.2,chrV,-,12056588,12059724,35,10,-3.23,0.0043,Antisense,R07B7.2,WBGene00011087,Public name for WBGene00011087. History: N.A.
R07E5.14,chrIII,+,4406288,4407074,10,1,-5.43,0.021,Antisense,R07E5.14,WBGene00004387,Sequence name for WBGene00004387(rnp-4). History: N.A.
R07H5.2,chrIV,+,11179614,11182972,10,1,-5.43,0.021,Antisense,R07H5.2,WBGene00011122,Sequence name for WBGene00011122(cpt-2). History: N.A.
R07H5.9,chrIV,+,11207501,11209252,22,10,-2.11,0.046,Antisense,R07H5.9,WBGene00011129,Public name for WBGene00011129. History: N.A.
R08D7.6,chrIII,-,8974976,8981808,37,17,-2.11,0.038,Antisense,R08D7.6,WBGene00011146,Sequence name for WBGene00011146(pde-2). History: N.A.
R09A1.1,chrV,+,1008804,1018355,15,3,-3.95,0.015,Antisense,R09A1.1,WBGene00019971,Sequence name for WBGene00019971(ergo-1). History: N.A.
R107.6,chrIII,+,9054961,9058536,318,163,-1.95,2.5e-10,Antisense,R107.6,WBGene00000549,Sequence name for WBGene00000549(cls-2). History: N.A.
R10E11.1,chrIII,+,9766414,9774723,49,30,-1.62,0.032,Antisense,R10E11.1,WBGene00000366,Sequence name for WBGene00000366(cbp-1). History: N.A.
R10E11.6,chrIII,+,9783223,9785937,10,1,-5.43,0.021,Antisense,R10E11.6,WBGene00011218,Public name for WBGene00011218. History: N.A.
R10F2.1,chrIII,+,2910959,2935547,89,48,-1.83,0.0013,Antisense,R10F2.1,WBGene00019994,Sequence name for WBGene00019994(cdh-1). History: N.A.
R119.4,chrI,-,373573,381905,27,9,-2.81,0.019,Antisense,R119.4,WBGene00004143,Sequence name for WBGene00004143(pqn-59). History: N.A.
R119.6,chrI,+,382835,388540,32,11,-2.75,0.0044,Antisense,R119.6,WBGene00006385,Sequence name for WBGene00006385(taf-4). History: N.A.
R11A8.1,chrIV,-,10355094,10357134,316,134,-2.34,3.9e-10,Antisense,R11A8.1,WBGene00011236,Public name for WBGene00011236. History: N.A.
R11A8.6,chrIV,+,10368578,10372600,22,9,-2.32,0.032,Antisense,R11A8.6,WBGene00002152,Sequence name for WBGene00002152(iars-1). History: Renamed on 2010-01-29
R11E3.2,chrIV,+,4772109,4775124,17,4,-3.65,0.012,Antisense,R11E3.2,WBGene00020004,Public name for WBGene00020004. History: N.A.
R12E2.1,chrI,+,4182221,4184994,15,0,-15.79,0.00039,Antisense,R12E2.1,WBGene00020030,Sequence name for WBGene00020030(kel-20). History: N.A.
R12E2.2,chrI,+,4178812,4182159,15,5,-2.63,0.049,Antisense,R12E2.2,WBGene00020031,Sequence name for WBGene00020031(suco-1). History: Renamed on 2015-02-09
