Ubiquitous genes,Input,Suggested Match,History
K10B3.5,K10B3.5,WBGene00019611,Public name for WBGene00019611. History: N.A.
K10B3.7,K10B3.7,WBGene00001685,Sequence name for WBGene00001685(gpd-3). History: N.A.
K10C3.2,K10C3.2,WBGene00010730,Sequence name for WBGene00010730(ensa-1). History: N.A.
K10C3.3,K10C3.3,WBGene00006978,Sequence name for WBGene00006978(zig-1). History: N.A.
K10C3.5,K10C3.5,WBGene00010732,Public name for WBGene00010732. History: N.A.
K10C3.6,K10C3.6,WBGene00003639,Sequence name for WBGene00003639(nhr-49). History: N.A.
K10C8.3,K10C8.3,WBGene00010736,Sequence name for WBGene00010736(istr-1). History: N.A.
K10C9.3,K10C9.3,WBGene00019624,Sequence name for WBGene00019624(rnst-2). History: N.A.
K10D2.2,K10D2.2,WBGene00019628,Sequence name for WBGene00019628(pup-2). History: N.A.
K10D2.6,K10D2.6,WBGene00001262,"Sequence name for WBGene00001262(emb-8). History: Renamed on 2018-09-18. Public name for Dead gene WBGene00019632. History of WBGene00019632: Merged into ""WBGene00001262"" on 2005-08-19"
K10D3.2,K10D3.2,WBGene00006753,Sequence name for WBGene00006753(unc-14). History: N.A.
K10H10.2,K10H10.2,WBGene00010759,Sequence name for WBGene00010759(cysl-2). History: N.A.
K11B4.1,K11B4.1,WBGene00010766,Sequence name for WBGene00010766(mrps-27). History: N.A.
K11D12.12,K11D12.12,WBGene00019651,Public name for WBGene00019651. History: N.A.
K11D12.2,K11D12.2,WBGene00004136,"Sequence name for WBGene00004136(pqn-51). History: Split into K11D12.14(WBGene00303069). History of WBGene00004136: Split into ""WBGene00303069"" on 2018-03-02"
K11D2.3,K11D2.3,WBGene00006829,Sequence name for WBGene00006829(unc-101). History: N.A.
K11D9.1,K11D9.1,WBGene00002219,Sequence name for WBGene00002219(klp-7). History: N.A.
K11D9.2,K11D9.2,WBGene00004736,Sequence name for WBGene00004736(sca-1). History: N.A.
K11E8.1,K11E8.1,WBGene00006779,Sequence name for WBGene00006779(unc-43). History: N.A.
K11G12.6,K11G12.6,WBGene00019657,Public name for WBGene00019657. History: N.A.
K11H12.2,K11H12.2,WBGene00004427,Sequence name for WBGene00004427(rpl-15). History: N.A.
K11H12.7,K11H12.7,WBGene00019663,Public name for WBGene00019663. History: N.A.
K11H12.8,K11H12.8,WBGene00019664,Public name for WBGene00019664. History: N.A.
K11H12.9,K11H12.9,WBGene00019665,Public name for WBGene00019665. History: N.A.
K11H3.1,K11H3.1,WBGene00010778,Sequence name for WBGene00010778(gpdh-2). History: N.A.
K11H3.3,K11H3.3,WBGene00010780,Public name for WBGene00010780. History: N.A.
K11H3.6,K11H3.6,WBGene00010783,Sequence name for WBGene00010783(mrpl-36). History: N.A.
K12C11.1,K12C11.1,WBGene00019673,Public name for WBGene00019673. History: N.A.
K12D12.1,K12D12.1,WBGene00010785,Sequence name for WBGene00010785(top-2). History: Renamed on 2015-07-16
K12D12.2,K12D12.2,WBGene00003789,Sequence name for WBGene00003789(npp-3). History: N.A.
K12F2.1,K12F2.1,WBGene00003515,Sequence name for WBGene00003515(myo-3). History: N.A.
K12H4.1,K12H4.1,WBGene00000448,Sequence name for WBGene00000448(pros-1). History: Renamed on 2013-02-08; Renamed on 2017-10-13
K12H6.6,K12H6.6,WBGene00019686,Public name for WBGene00019686. History: N.A.
M01A10.3,M01A10.3,WBGene00019693,Sequence name for WBGene00019693(ostd-1). History: N.A.
M01B12.3,M01B12.3,WBGene00000205,Sequence name for WBGene00000205(arx-7). History: N.A.
M01B12.4,M01B12.4,WBGene00019697,Public name for WBGene00019697. History: N.A.
M01B2.10,M01B2.10,WBGene00010803,Public name for WBGene00010803. History: N.A.
M01D7.2,M01D7.2,WBGene00004743,Sequence name for WBGene00004743(scm-1). History: N.A.
M01D7.7,M01D7.7,WBGene00001196,"Sequence name for WBGene00001196(egl-30). History: Split into C53H9.4(WBGene00303070). History of WBGene00001196: Split into ""WBGene00303070"" on 2018-03-02"
M01E11.1,M01E11.1,WBGene00019710,Public name for WBGene00019710. History: N.A.
M01E11.2,M01E11.2,WBGene00019711,Sequence name for WBGene00019711(ctnb-1). History: N.A.
M01E11.4,M01E11.4,WBGene00019713,Sequence name for WBGene00019713(pqn-52). History: N.A.
M01E11.7,M01E11.7,WBGene00006508,Sequence name for WBGene00006508(tns-1). History: Renamed on 2015-11-05
M01E5.3,M01E5.3,WBGene00010806,Public name for WBGene00010806. History: N.A.
M01H9.3,M01H9.3,WBGene00019719,Public name for WBGene00019719. History: N.A.
M02A10.3,M02A10.3,WBGene00004829,Sequence name for WBGene00004829(sli-1). History: N.A.
M02B1.3,M02B1.3,WBGene00010828,Public name for WBGene00010828. History: N.A.
M03A1.1,M03A1.1,WBGene00006868,Sequence name for WBGene00006868(vab-1). History: N.A.
M03A1.6,M03A1.6,WBGene00019747,Sequence name for WBGene00019747(ipla-1). History: N.A.
M03A8.1,M03A8.1,WBGene00000991,Sequence name for WBGene00000991(dhs-28). History: N.A.
M03A8.4,M03A8.4,WBGene00001572,Sequence name for WBGene00001572(gei-15). History: N.A.
M03D4.1,M03D4.1,WBGene00006974,Sequence name for WBGene00006974(zen-4). History: N.A.
M03E7.5,M03E7.5,WBGene00019757,Sequence name for WBGene00019757(memb-2). History: Renamed on 2010-03-26
M03F4.2,M03F4.2,WBGene00000066,Sequence name for WBGene00000066(act-4). History: N.A.
M03F4.7,M03F4.7,WBGene00019760,Sequence name for WBGene00019760(calu-1). History: N.A.
M03F8.3,M03F8.3,WBGene00019762,Sequence name for WBGene00019762(syf-3). History: Renamed on 2005-03-17; Renamed on 2021-03-11
M04B2.1,M04B2.1,WBGene00003218,Sequence name for WBGene00003218(mep-1). History: N.A.
M04B2.4,M04B2.4,WBGene00010847,Public name for WBGene00010847. History: N.A.
M04F3.1,M04F3.1,WBGene00019767,Sequence name for WBGene00019767(rpa-2). History: N.A.
M04F3.4,M04F3.4,WBGene00019770,Public name for WBGene00019770. History: N.A.
M04F3.5,M04F3.5,WBGene00019771,Public name for WBGene00019771. History: N.A.
M04G12.4,M04G12.4,WBGene00010868,Sequence name for WBGene00010868(somi-1). History: N.A.
M05B5.4,M05B5.4,WBGene00010872,Sequence name for WBGene00010872(plag-15). History: N.A.
M05B5.5,M05B5.5,WBGene00001949,Sequence name for WBGene00001949(hlh-2). History: N.A.
M05D6.6,M05D6.6,WBGene00010879,Sequence name for WBGene00010879(taap-1). History: N.A.
M106.1,M106.1,WBGene00003367,Sequence name for WBGene00003367(mix-1). History: N.A.
M106.2,M106.2,WBGene00010910,"Public name for WBGene00010910. History: Split into M106.8(WBGene00077658). History of WBGene00010910: Split into ""WBGene00077658"" on 2008-02-22"
M106.4,M106.4,WBGene00010912,Sequence name for WBGene00010912(gmps-1). History: N.A.
M106.5,M106.5,WBGene00000293,Sequence name for WBGene00000293(cap-2). History: N.A.
M110.5,M110.5,WBGene00000894,Sequence name for WBGene00000894(dab-1). History: N.A.
M117.2,M117.2,WBGene00003920,Sequence name for WBGene00003920(par-5). History: N.A.
M176.11,M176.11,WBGene00010947,Public name for WBGene00010947. History: N.A.
M176.2,M176.2,WBGene00010941,Sequence name for WBGene00010941(gss-1). History: N.A.
M18.5,M18.5,WBGene00010890,Sequence name for WBGene00010890(ddb-1). History: N.A.
M18.7,M18.7,WBGene00000122,Sequence name for WBGene00000122(aly-3). History: N.A.
M28.5,M28.5,WBGene00010896,Sequence name for WBGene00010896(snu-13). History: Renamed on 2005-03-17
M60.4,M60.4,WBGene00019780,Public name for WBGene00019780. History: N.A.
M7.1,M7.1,WBGene00002344,Sequence name for WBGene00002344(let-70). History: N.A.
M7.5,M7.5,WBGene00010882,Sequence name for WBGene00010882(atg-7). History: Renamed on 2007-03-15; Renamed on 2008-02-29
M88.6,M88.6,WBGene00003915,Sequence name for WBGene00003915(pan-1). History: N.A.
PAR2.4,PAR2.4,WBGene00003253,"Sequence name for WBGene00003253(mig-22). History: N.A.. Public name for Dead gene WBGene00019802. History of WBGene00019802: Merged into ""WBGene00003253"" on 2006-10-31"
R01B10.1,R01B10.1,WBGene00000534,Sequence name for WBGene00000534(cpi-2). History: Renamed on 2006-01-04
R01B10.4,R01B10.4,WBGene00019806,Sequence name for WBGene00019806(pgap-3). History: N.A.
R01B10.6,R01B10.6,WBGene00019808,Sequence name for WBGene00019808(seip-1). History: N.A.
R01H2.6,R01H2.6,WBGene00006713,Sequence name for WBGene00006713(ubc-18). History: N.A.
R02D3.1,R02D3.1,WBGene00019819,Sequence name for WBGene00019819(aass-1). History: N.A.
R02D3.4,R02D3.4,WBGene00019822,Sequence name for WBGene00019822(ints-13). History: N.A.
R02D3.5,R02D3.5,WBGene00019823,Sequence name for WBGene00019823(fnta-1). History: N.A.
R02E12.2,R02E12.2,WBGene00019827,Sequence name for WBGene00019827(mop-25.1). History: N.A.
R02F11.4,R02F11.4,WBGene00019842,Public name for WBGene00019842. History: N.A.
R02F2.1,R02F2.1,WBGene00019831,Public name for WBGene00019831. History: N.A.
R02F2.7,R02F2.7,WBGene00019836,Public name for WBGene00019836. History: N.A.
R03A10.4,R03A10.4,WBGene00010984,Sequence name for WBGene00010984(nkat-3). History: N.A.
R03D7.4,R03D7.4,WBGene00010990,Sequence name for WBGene00010990(tceb-3). History: N.A.
R03D7.6,R03D7.6,WBGene00001753,Sequence name for WBGene00001753(gst-5). History: N.A.
R03E1.2,R03E1.2,WBGene00010993,Sequence name for WBGene00010993(vha-20). History: N.A.
R03G5.1,R03G5.1,WBGene00001169,Sequence name for WBGene00001169(eef-1A.2). History: Renamed on 2010-08-03
R04A9.4,R04A9.4,WBGene00002060,Sequence name for WBGene00002060(ife-2). History: N.A.
R04D3.4,R04D3.4,WBGene00011012,Public name for WBGene00011012. History: N.A.
R04F11.2,R04F11.2,WBGene00011015,Public name for WBGene00011015. History: N.A.
R04F11.5,R04F11.5,WBGene00011017,Public name for WBGene00011017. History: N.A.
R05D11.3,R05D11.3,WBGene00004305,Sequence name for WBGene00004305(ran-4). History: N.A.
R05D11.5,R05D11.5,WBGene00011033,Sequence name for WBGene00011033(tmem-208). History: N.A.
R05D11.6,R05D11.6,WBGene00011034,Sequence name for WBGene00011034(paxt-1). History: N.A.
R05D11.7,R05D11.7,WBGene00011035,Sequence name for WBGene00011035(snrp-27). History: N.A.
R05D11.8,R05D11.8,WBGene00011036,Sequence name for WBGene00011036(edc-3). History: N.A.
R05D3.11,R05D3.11,WBGene00019883,Sequence name for WBGene00019883(met-2). History: N.A.
R05D3.7,R05D3.7,WBGene00006840,Sequence name for WBGene00006840(unc-116). History: N.A.
R05D7.4,R05D7.4,WBGene00011029,Sequence name for WBGene00011029(abhd-11.2). History: N.A.
R05D7.5,R05D7.5,WBGene00011030,Sequence name for WBGene00011030(nsph-1.2). History: N.A.
R05F9.1,R05F9.1,WBGene00019888,Sequence name for WBGene00019888(btbd-10). History: Renamed on 2014-03-03
R05F9.10,R05F9.10,WBGene00019893,Sequence name for WBGene00019893(sgt-1). History: N.A.
R05F9.6,R05F9.6,WBGene00019890,Public name for WBGene00019890. History: N.A.
R05F9.9,R05F9.9,WBGene00019892,Public name for WBGene00019892. History: N.A.
R05G6.7,R05G6.7,WBGene00019900,Sequence name for WBGene00019900(vdac-1). History: N.A.
R05H5.4,R05H5.4,WBGene00011039,Public name for WBGene00011039. History: N.A.
R06A4.4,R06A4.4,WBGene00002076,Sequence name for WBGene00002076(imb-2). History: N.A.
R06A4.7,R06A4.7,WBGene00003220,Sequence name for WBGene00003220(mes-2). History: N.A.
R06A4.8,R06A4.8,WBGene00011050,Sequence name for WBGene00011050(agl-1). History: N.A.
R06A4.9,R06A4.9,WBGene00011051,Sequence name for WBGene00011051(pfs-2). History: N.A.
R06B9.6,R06B9.6,WBGene00003246,"Sequence name for WBGene00003246(mig-14). History: N.A.. Public name for Dead gene WBGene00011057. History of WBGene00011057: Merged into ""WBGene00003246"" on 2006-05-24"
R06C1.1,R06C1.1,WBGene00001836,Sequence name for WBGene00001836(hda-3). History: N.A.
R06C1.2,R06C1.2,WBGene00011058,Sequence name for WBGene00011058(fdps-1). History: N.A.
R06C1.4,R06C1.4,WBGene00011059,Public name for WBGene00011059. History: N.A.
R06C7.8,R06C7.8,WBGene00000275,Sequence name for WBGene00000275(bub-1). History: N.A.
R07C3.2,R07C3.2,WBGene00019918,Sequence name for WBGene00019918(fbxc-36). History: N.A.
R07E3.5,R07E3.5,WBGene00011106,Sequence name for WBGene00011106(acl-5). History: N.A.
R07E5.10,R07E5.10,WBGene00011116,"Sequence name for WBGene00011116(pdcd-2). History: Split into R07E5.19(WBGene00303105). History of WBGene00011116: Split into ""WBGene00303105"" on 2018-03-06"
R07E5.13,R07E5.13,WBGene00011119,Sequence name for WBGene00011119(mpc-1). History: N.A.
R07E5.14,R07E5.14,WBGene00004387,Sequence name for WBGene00004387(rnp-4). History: N.A.
R07E5.3,R07E5.3,WBGene00011111,Sequence name for WBGene00011111(snfc-5). History: Renamed on 2011-02-11
R07E5.7,R07E5.7,WBGene00011115,Public name for WBGene00011115. History: N.A.
R07G3.1,R07G3.1,WBGene00000390,Sequence name for WBGene00000390(cdc-42). History: N.A.
R07G3.3,R07G3.3,WBGene00019940,Sequence name for WBGene00019940(npp-21). History: N.A.
R07G3.5,R07G3.5,WBGene00019941,Sequence name for WBGene00019941(pgam-5). History: N.A.
R07G3.7,R07G3.7,WBGene00019943,Public name for WBGene00019943. History: N.A.
R07H5.2,R07H5.2,WBGene00011122,Sequence name for WBGene00011122(cpt-2). History: N.A.
R07H5.8,R07H5.8,WBGene00011128,Sequence name for WBGene00011128(adk-1). History: N.A.
R08C7.2,R08C7.2,WBGene00019946,Sequence name for WBGene00019946(chat-1). History: N.A.
R08D7.3,R08D7.3,WBGene00001227,Sequence name for WBGene00001227(eif-3.D). History: N.A.
R08D7.4,R08D7.4,WBGene00011144,Public name for WBGene00011144. History: N.A.
R08D7.6,R08D7.6,WBGene00011146,Sequence name for WBGene00011146(pde-2). History: N.A.
R08D7.7,R08D7.7,WBGene00011147,Public name for WBGene00011147. History: N.A.
R09A1.1,R09A1.1,WBGene00019971,Sequence name for WBGene00019971(ergo-1). History: N.A.
R09A8.3,R09A8.3,WBGene00006493,Sequence name for WBGene00006493(ivns-1). History: Renamed on 2017-10-11
R09B3.3,R09B3.3,WBGene00011156,Sequence name for WBGene00011156(rbm-3.2). History: N.A.
R09B3.4,R09B3.4,WBGene00006707,Sequence name for WBGene00006707(ubc-12). History: N.A.
R09B3.5,R09B3.5,WBGene00003123,Sequence name for WBGene00003123(mag-1). History: N.A.
R09E12.3,R09E12.3,WBGene00019983,Sequence name for WBGene00019983(sti-1). History: N.A.
R09F10.3,R09F10.3,WBGene00019987,Public name for WBGene00019987. History: N.A.
R102.5,R102.5,WBGene00011292,Sequence name for WBGene00011292(allo-1). History: N.A.
R107.2,R107.2,WBGene00011298,Public name for WBGene00011298. History: N.A.
R107.4,R107.4,WBGene00011299,Sequence name for WBGene00011299(ikke-1). History: N.A.
R107.5,R107.5,WBGene00011300,Public name for WBGene00011300. History: N.A.
R107.6,R107.6,WBGene00000549,Sequence name for WBGene00000549(cls-2). History: N.A.
R107.7,R107.7,WBGene00001749,Sequence name for WBGene00001749(gst-1). History: N.A.
R10A10.2,R10A10.2,WBGene00019993,Sequence name for WBGene00019993(rbx-2). History: N.A.
R10D12.13,R10D12.13,WBGene00011194,Public name for WBGene00011194. History: N.A.
R10D12.14,R10D12.14,WBGene00011195,Sequence name for WBGene00011195(sao-1). History: N.A.
R10E11.2,R10E11.2,WBGene00006911,Sequence name for WBGene00006911(vha-2). History: N.A.
R10E11.8,R10E11.8,WBGene00006910,Sequence name for WBGene00006910(vha-1). History: Renamed on 2005-11-29; Renamed on 2006-01-12
R10E12.1,R10E12.1,WBGene00007010,"Sequence name for WBGene00007010(alx-1). History: N.A.. Public name for Dead gene WBGene00004142. History of WBGene00004142: Merged into ""WBGene00007010"" on 2004-05-18"
R10E4.2,R10E4.2,WBGene00006331,"Sequence name for WBGene00006331(sup-26). History: Renamed on 2010-10-07. Public name for Dead gene WBGene00011199. History of WBGene00011199: Merged into ""WBGene00006331"" on 2010-10-07"
R10E4.4,R10E4.4,WBGene00003157,Sequence name for WBGene00003157(mcm-5). History: N.A.
R10E4.9,R10E4.9,WBGene00011205,Public name for WBGene00011205. History: N.A.
R10H10.1,R10H10.1,WBGene00003064,Sequence name for WBGene00003064(nfu-1). History: Renamed on 2021-04-19
R119.6,R119.6,WBGene00006385,Sequence name for WBGene00006385(taf-4). History: N.A.
R11A5.1,R11A5.1,WBGene00000163,Sequence name for WBGene00000163(apb-3). History: N.A.
R11A5.4,R11A5.4,WBGene00011232,Sequence name for WBGene00011232(pck-2). History: N.A.
R11A8.6,R11A8.6,WBGene00002152,Sequence name for WBGene00002152(iars-1). History: Renamed on 2010-01-29
R11A8.7,R11A8.7,WBGene00011240,Sequence name for WBGene00011240(mask-1). History: N.A.
R11D1.1,R11D1.1,WBGene00011242,Public name for WBGene00011242. History: N.A.
R11D1.9,R11D1.9,WBGene00011247,Sequence name for WBGene00011247(mrpl-49). History: N.A.
R11E3.7,R11E3.7,WBGene00001060,Sequence name for WBGene00001060(dpf-7). History: N.A.
R11E3.8,R11E3.8,WBGene00001058,Sequence name for WBGene00001058(dpf-5). History: N.A.
R11H6.1,R11H6.1,WBGene00003982,Sequence name for WBGene00003982(pes-9). History: N.A.
R11H6.2,R11H6.2,WBGene00011250,Public name for WBGene00011250. History: N.A.
R11H6.5,R11H6.5,WBGene00011253,Public name for WBGene00011253. History: N.A.
R12A1.4,R12A1.4,WBGene00001578,Sequence name for WBGene00001578(ges-1). History: Renamed on 2019-05-20
R12C12.2,R12C12.2,WBGene00004306,Sequence name for WBGene00004306(ran-5). History: N.A.
R12C12.6,R12C12.6,WBGene00020026,Public name for WBGene00020026. History: N.A.
R12C12.7,R12C12.7,WBGene00020027,Public name for WBGene00020027. History: N.A.
R12E2.1,R12E2.1,WBGene00020030,Sequence name for WBGene00020030(kel-20). History: N.A.
R12E2.13,R12E2.13,WBGene00020038,Public name for WBGene00020038. History: N.A.
R12E2.3,R12E2.3,WBGene00004464,Sequence name for WBGene00004464(rpn-8). History: N.A.
R13.4,R13.4,WBGene00011259,Sequence name for WBGene00011259(miz-1). History: N.A.
R13A5.1,R13A5.1,WBGene00000846,Sequence name for WBGene00000846(cup-5). History: N.A.
R13A5.12,R13A5.12,WBGene00003063,Sequence name for WBGene00003063(lpd-7). History: N.A.
R13A5.8,R13A5.8,WBGene00004420,Sequence name for WBGene00004420(rpl-9). History: N.A.
R13H4.4,R13H4.4,WBGene00001978,Sequence name for WBGene00001978(hmp-1). History: N.A.
R144.12,R144.12,WBGene00043060,Public name for WBGene00043060. History: N.A.
R144.2,R144.2,WBGene00020092,Sequence name for WBGene00020092(pcf-11). History: N.A.
R144.3,R144.3,WBGene00020093,Public name for WBGene00020093. History: N.A.
R144.4,R144.4,WBGene00020094,Sequence name for WBGene00020094(wip-1). History: N.A.
R144.6,R144.6,WBGene00020096,"Public name for WBGene00020096. History: Split into R144.12(WBGene00043060). History of WBGene00020096: Split into ""WBGene00043060"" on 2004-09-21"
R144.7,R144.7,WBGene00020097,Sequence name for WBGene00020097(larp-1). History: N.A.
R151.10,R151.10,WBGene00020113,Public name for WBGene00020113. History: N.A.
R151.6,R151.6,WBGene00020109,Sequence name for WBGene00020109(der-2). History: N.A.
R155.1,R155.1,WBGene00020115,Sequence name for WBGene00020115(mboa-6). History: N.A.
R160.1,R160.1,WBGene00001082,Sequence name for WBGene00001082(dpy-23). History: N.A.
R166.3,R166.3,WBGene00011303,Public name for WBGene00011303. History: N.A.
R166.5,R166.5,WBGene00011304,Sequence name for WBGene00011304(mnk-1). History: N.A.
R186.3,R186.3,WBGene00011306,Public name for WBGene00011306. History: N.A.
R186.7,R186.7,WBGene00011308,Sequence name for WBGene00011308(pnn-1). History: N.A.
R53.2,R53.2,WBGene00011272,Sequence name for WBGene00011272(dtmk-1). History: N.A.
R53.4,R53.4,WBGene00011273,Public name for WBGene00011273. History: N.A.
R53.5,R53.5,WBGene00011274,Public name for WBGene00011274. History: N.A.
R53.6,R53.6,WBGene00011275,Sequence name for WBGene00011275(psf-1). History: N.A.
R74.1,R74.1,WBGene00003073,Sequence name for WBGene00003073(lars-1). History: Renamed on 2010-01-29
R74.3,R74.3,WBGene00006959,Sequence name for WBGene00006959(xbp-1). History: N.A.
R74.4,R74.4,WBGene00001034,Sequence name for WBGene00001034(dnj-16). History: N.A.
R74.5,R74.5,WBGene00011279,Sequence name for WBGene00011279(asd-1). History: N.A.
R74.6,R74.6,WBGene00011280,Sequence name for WBGene00011280(pelo-1). History: N.A.
R74.7,R74.7,WBGene00011281,Public name for WBGene00011281. History: N.A.
R74.8,R74.8,WBGene00011282,Public name for WBGene00011282. History: N.A.
T01B7.4,T01B7.4,WBGene00000887,Sequence name for WBGene00000887(cyn-11). History: N.A.
T01B7.5,T01B7.5,WBGene00011311,Public name for WBGene00011311. History: N.A.
T01C3.7,T01C3.7,WBGene00001423,Sequence name for WBGene00001423(fib-1). History: N.A.
T01C8.1,T01C8.1,WBGene00020142,Sequence name for WBGene00020142(aak-2). History: N.A.
T01C8.5,T01C8.5,WBGene00020146,Sequence name for WBGene00020146(got-1.2). History: N.A.
T01D1.2,T01D1.2,WBGene00001340,Sequence name for WBGene00001340(etr-1). History: N.A.
T01D3.5,T01D3.5,WBGene00011329,Sequence name for WBGene00011329(zipt-9). History: N.A.
T01E8.4,T01E8.4,WBGene00003177,"Sequence name for WBGene00003177(mec-15). History: N.A.. Public name for Dead gene WBGene00011332. History of WBGene00011332: Merged into ""WBGene00003177"" on 2010-02-12"
T01E8.6,T01E8.6,WBGene00011334,Sequence name for WBGene00011334(mrps-14). History: N.A.
T01G9.2,T01G9.2,WBGene00011344,Public name for WBGene00011344. History: N.A.
T01G9.6,T01G9.6,WBGene00002196,Sequence name for WBGene00002196(kin-10). History: N.A.
T01H3.1,T01H3.1,WBGene00006913,"Sequence name for WBGene00006913(vha-4). History: N.A.. Public name for Dead gene WBGene00011347. History of WBGene00011347: Merged into ""WBGene00006913"" on 2006-06-15"
T01H3.3,T01H3.3,WBGene00011349,Public name for WBGene00011349. History: N.A.
T01H8.1,T01H8.1,WBGene00011352,Sequence name for WBGene00011352(rskn-1). History: N.A.
T02C12.3,T02C12.3,WBGene00011368,Sequence name for WBGene00011368(tftc-5). History: N.A.
T02E1.3,T02E1.3,WBGene00011376,Sequence name for WBGene00011376(gla-3). History: N.A.
T02G5.2,T02G5.2,WBGene00020163,"Public name for Dead gene WBGene00020162. History of WBGene00020162: Merged into ""WBGene00020163"" on 2012-02-06"
T02G5.7,T02G5.7,WBGene00020166,Public name for WBGene00020166. History: N.A.
T02G5.9,T02G5.9,WBGene00002238,Sequence name for WBGene00002238(kars-1). History: Renamed on 2010-01-29
T02H6.11,T02H6.11,WBGene00020181,Public name for WBGene00020181. History: Renamed on 2005-03-17
T03D8.1,T03D8.1,WBGene00003830,Sequence name for WBGene00003830(num-1). History: N.A.
T03E6.7,T03E6.7,WBGene00000776,Sequence name for WBGene00000776(cpl-1). History: N.A.
T03F1.1,T03F1.1,WBGene00020184,Sequence name for WBGene00020184(uba-5). History: N.A.
T03F1.2,T03F1.2,WBGene00000764,Sequence name for WBGene00000764(coq-4). History: N.A.
T03F1.3,T03F1.3,WBGene00020185,Sequence name for WBGene00020185(pgk-1). History: N.A.
T03F1.8,T03F1.8,WBGene00020190,Sequence name for WBGene00020190(guk-1). History: N.A.
T03F6.1,T03F6.1,WBGene00011398,Sequence name for WBGene00011398(qdpr-1). History: N.A.
T03F6.3,T03F6.3,WBGene00011399,Public name for WBGene00011399. History: N.A.
T03F6.5,T03F6.5,WBGene00003047,Sequence name for WBGene00003047(lis-1). History: N.A.
T03G6.2,T03G6.2,WBGene00003630,"Sequence name for WBGene00003630(nhr-40). History: Split into T03G6.7(WBGene00303074). History of WBGene00003630: Split into ""WBGene00303074"" on 2018-03-02"
T04A8.14,T04A8.14,WBGene00001259,Sequence name for WBGene00001259(emb-5). History: N.A.
T04A8.7,T04A8.7,WBGene00011409,Public name for WBGene00011409. History: N.A.
T04C10.2,T04C10.2,WBGene00001329,Sequence name for WBGene00001329(epn-1). History: N.A.
T04C12.4,T04C12.4,WBGene00000065,Sequence name for WBGene00000065(act-3). History: N.A.
T04C12.5,T04C12.5,WBGene00000064,Sequence name for WBGene00000064(act-2). History: N.A.
T04C12.6,T04C12.6,WBGene00000063,Sequence name for WBGene00000063(act-1). History: N.A.
T04C9.4,T04C9.4,WBGene00003375,Sequence name for WBGene00003375(mlp-1). History: N.A.
T04D1.3,T04D1.3,WBGene00006791,Sequence name for WBGene00006791(unc-57). History: N.A.
T04D1.4,T04D1.4,WBGene00007053,"Sequence name for WBGene00007053(chd-7). History: N.A.. Public name for Dead gene WBGene00020213. History of WBGene00020213: Merged into ""WBGene00007053"" on 2005-10-05"
T04D3.5,T04D3.5,WBGene00011434,Public name for WBGene00011434. History: N.A.
T04F8.2,T04F8.2,WBGene00011441,Public name for WBGene00011441. History: N.A.
T04G9.5,T04G9.5,WBGene00020216,Sequence name for WBGene00020216(trap-2). History: N.A.
T04H1.2,T04H1.2,WBGene00011449,"Public name for WBGene00011449. History: Split into T04H1.13(WBGene00303076). History of WBGene00011449: Split into ""WBGene00303076"" on 2018-03-02"
T05A10.1,T05A10.1,WBGene00004862,Sequence name for WBGene00004862(sma-9). History: N.A.
T05A6.1,T05A6.1,WBGene00000516,Sequence name for WBGene00000516(cki-1). History: N.A.
T05B11.3,T05B11.3,WBGene00020246,Sequence name for WBGene00020246(clic-1). History: Renamed on 2008-04-30
T05B4.1,T05B4.1,WBGene00020236,Sequence name for WBGene00020236(lgc-1). History: N.A.
T05C12.6,T05C12.6,WBGene00003241,Sequence name for WBGene00003241(mig-5). History: N.A.
T05C12.7,T05C12.7,WBGene00000377,Sequence name for WBGene00000377(cct-1). History: N.A.
T05C3.5,T05C3.5,WBGene00001037,Sequence name for WBGene00001037(dnj-19). History: Renamed on 2005-12-16
T05D4.1,T05D4.1,WBGene00011474,Sequence name for WBGene00011474(aldo-1). History: N.A.
T05E11.3,T05E11.3,WBGene00011480,Sequence name for WBGene00011480(enpl-1). History: N.A.
T05E11.5,T05E11.5,WBGene00011481,Sequence name for WBGene00011481(imp-2). History: N.A.
T05E11.6,T05E11.6,WBGene00011482,Sequence name for WBGene00011482(pigk-1). History: Renamed on 2018-12-11
T05F1.1,T05F1.1,WBGene00011488,Sequence name for WBGene00011488(nra-2). History: N.A.
T05F1.13,T05F1.13,WBGene00011497,Public name for WBGene00011497. History: N.A.
T05F1.4,T05F1.4,WBGene00011490,Public name for WBGene00011490. History: N.A.
T05G5.10,T05G5.10,WBGene00002064,Sequence name for WBGene00002064(iff-1). History: N.A.
T05G5.5,T05G5.5,WBGene00011500,Public name for WBGene00011500. History: N.A.
T05G5.6,T05G5.6,WBGene00001155,Sequence name for WBGene00001155(ech-6). History: N.A.
T05G5.8,T05G5.8,WBGene00011502,Sequence name for WBGene00011502(vps-53). History: N.A.
T05G5.9,T05G5.9,WBGene00011503,Sequence name for WBGene00011503(gcc-2). History: N.A.
T05H10.2,T05H10.2,WBGene00000151,Sequence name for WBGene00000151(apn-1). History: N.A.
T05H10.4,T05H10.4,WBGene00011509,Public name for WBGene00011509. History: N.A.
T05H10.5,T05H10.5,WBGene00006734,Sequence name for WBGene00006734(ufd-2). History: N.A.
T05H10.6,T05H10.6,WBGene00011510,Sequence name for WBGene00011510(pdha-1). History: N.A.
T05H10.7,T05H10.7,WBGene00011511,Sequence name for WBGene00011511(gpcp-2). History: N.A.
