gene,N_0MM,ID_0MM,N_1MM,ID_1MM,N_2MM,ID_2MM,N_3MM,ID_3MM,number of 22G-RNA reads at target sites in wild-type,number of 22G-RNA reads at target sites in prg-1,number of 22G-RNA reads matching transcript in wild-type,number of 22G-RNA reads matching transcript in prg-1,Input,Suggested Match,History
Y57G11C.28,4,"21UR-4404,21UR-4614,21UR-9692,21UR-12131",1,21UR-3700,2,"21UR-5277,21UR-15543",3,"21UR-9699,21UR-12861,21UR-12664",0,0.0,1,0,Y57G11C.28,WBGene00014924,Public name for WBGene00014924. History: N.A.
Y57G11C.29,1,21UR-3305,1,21UR-4404,0,,7,"21UR-1269,21UR-14641,21UR-11770,21UR-14608,21UR-10402,21UR-14105,21UR-10472",0,0.0,0,0,Y57G11C.29,WBGene00014925,Public name for WBGene00014925. History: N.A.
Y57G11C.30,6,"21UR-13474,21UR-5723,21UR-12949,21UR-9339,21UR-11091,21UR-3700",1,21UR-4404,3,"21UR-5277,21UR-12861,21UR-15543",11,"21UR-13880,21UR-14641,21UR-9688,21UR-11849,21UR-8945,21UR-6595,21UR-9699,21UR-6562,21UR-4717,21UR-7905,21UR-13826",0,0.0,1,0,Y57G11C.30,WBGene00014926,Public name for WBGene00014926. History: N.A.
Y59A8A.5,0,,0,,1,21UR-12475,2,"21UR-11878,21UR-8257",0,0.0,3,0,Y59A8A.5,WBGene00005506,Sequence name for WBGene00005506(srh-302). History: N.A.
Y59A8A.6,0,,0,,0,,4,"21UR-9714,21UR-12594,21UR-5102,21UR-8017",0,0.0,0,0,Y59A8A.6,WBGene00014927,Public name for WBGene00014927. History: N.A.
Y59E9AR.6,2,"21UR-10314,21UR-5577",0,,1,21UR-6705,5,"21UR-10637,21UR-5776,21UR-3231,21UR-12534,21UR-6120",0,0.0,0,0,Y59E9AR.6,WBGene00022001,Sequence name for WBGene00022001(thn-7). History: N.A.
Y60A3A.17,0,,0,,1,21UR-10547,3,"21UR-14087,21UR-7397,21UR-8364",0,0.0,0,0,Y60A3A.17,WBGene00014934,Public name for WBGene00014934. History: N.A.
Y61B8A.3,0,,0,,0,,4,"21UR-10031,21UR-7481,21UR-14125,21UR-10080",0,0.0,2,0,Y61B8A.3,WBGene00014937,Public name for WBGene00014937. History: N.A.
Y64G10A.9,0,,0,,0,,1,21UR-4625,0,0.0,0,0,Y64G10A.9,WBGene00045046,Public name for WBGene00045046. History: N.A.
Y66D12A.25,0,,0,,0,,1,21UR-3306,0,0.0,1,0,Y66D12A.25,,"Public name for Dead gene WBGene00044223. History of WBGene00044223: Killed on 2010-07-09. Remark: [100629 pad] Removed following correspondence with Rebecca Robilotto and Mark Gerstein, this is no longer believed to be a valid Pseudogene"
Y67A10A.13,0,,0,,0,,2,"21UR-10741,21UR-2917",0,0.0,0,0,Y67A10A.13,WBGene00045099,Public name for WBGene00045099. History: N.A.
Y68A4A.1,0,,0,,0,,1,21UR-7105,0,0.0,0,0,Y68A4A.1,WBGene00005413,Sequence name for WBGene00005413(srh-202). History: N.A.
Y68A4B.4,0,,0,,0,,2,"21UR-12167,21UR-7418",0,0.0,0,0,Y68A4B.4,WBGene00013472,"Public name for Dead gene WBGene00050966. History of WBGene00050966: Merged into ""WBGene00013472"" on 2010-02-12"
Y69A2AR.11,0,,0,,2,21UR-15780,8,"21UR-15864,21UR-15780,21UR-4220",0,0.0,1,0,Y69A2AR.11,WBGene00022082,Public name for WBGene00022082. History: N.A.
Y69H2.17,0,,0,,1,21UR-11115,3,"21UR-14786,21UR-11096,21UR-2886",0,0.0,0,0,Y69H2.17,WBGene00077455,Public name for WBGene00077455. History: N.A.
Y6G8.10,0,,0,,0,,2,"21UR-15864,21UR-2031",0,0.0,0,0,Y6G8.10,WBGene00077459,Public name for WBGene00077459. History: N.A.
Y6G8.12,0,,0,,0,,1,21UR-9587,0,0.0,0,0,Y6G8.12,WBGene00077637,Public name for WBGene00077637. History: N.A.
Y70C5C.7,0,,0,,0,,2,"21UR-9304,21UR-14260",0,0.0,0,0,Y70C5C.7,WBGene00023516,Sequence name for WBGene00023516(srz-98). History: N.A.
Y70C5C.8,0,,0,,0,,3,"21UR-11516,21UR-10905,21UR-6833",0,0.0,0,0,Y70C5C.8,WBGene00077621,Public name for WBGene00077621. History: N.A.
Y70G10A.4,0,,0,,0,,1,21UR-3757,0,0.0,0,0,Y70G10A.4,WBGene00303019,Public name for WBGene00303019. History: N.A.
Y71A12B.18,0,,0,,0,,1,21UR-14488,0,0.0,493,1116,Y71A12B.18,WBGene00045077,Public name for WBGene00045077. History: N.A.
Y73F8A.37,0,,0,,0,,1,21UR-6306,0,0.0,2,2,Y73F8A.37,WBGene00044632,Public name for WBGene00044632. History: N.A.
Y73F8A.38,0,,0,,0,,2,"21UR-11003,21UR-15905",0,0.0,0,0,Y73F8A.38,,"Public name for Dead gene WBGene00045005. History of WBGene00045005: Killed on 2010-07-09. Remark: [100629 pad] Removed following correspondence with Rebecca Robilotto and Mark Gerstein, this is no longer believed to be a valid Pseudogene"
Y73F8A.39,0,,0,,0,,2,"21UR-9670,21UR-9746",0,0.0,0,0,Y73F8A.39,WBGene00045025,Public name for WBGene00045025. History: N.A.
Y73F8A.4,3,"21UR-2873,21UR-4303,21UR-14344",0,,0,,2,"21UR-1620,21UR-12679",0,0.0,0,0,Y73F8A.4,WBGene00014948,Public name for WBGene00014948. History: N.A.
Y73F8A.7,1,21UR-7891,0,,0,,0,,0,0.0,2,0,Y73F8A.7,WBGene00006079,Sequence name for WBGene00006079(str-11). History: N.A.
Y75B12A.1,0,,0,,0,,3,"21UR-13982,21UR-14064,21UR-7884",0,0.0,16,3,Y75B12A.1,WBGene00014949,Public name for WBGene00014949. History: N.A.
Y75B12B.14,0,,0,,0,,2,"21UR-11319,21UR-15735",0,0.0,0,0,Y75B12B.14,WBGene00077440,Public name for WBGene00077440. History: N.A.
Y7A9C.10,4,"21UR-5442,21UR-11491,21UR-6968,21UR-8171",0,,1,21UR-12150,5,"21UR-8609,21UR-11648,21UR-11468,21UR-12104,21UR-11186",0,0.0,42,0,Y7A9C.10,WBGene00045026,Public name for WBGene00045026. History: N.A.
Y7A9C.1,0,,0,,1,21UR-15825,3,"21UR-13810,21UR-670,21UR-15888",0,0.0,2,3,Y7A9C.1,WBGene00012418,Public name for WBGene00012418. History: N.A.
Y7A9C.2,1,21UR-11095,0,,0,,8,"21UR-1012,21UR-8111,21UR-11770,21UR-7105,21UR-385,21UR-15536,21UR-9964,21UR-4046",0,0.0,0,0,Y7A9C.2,WBGene00014862,Public name for WBGene00014862. History: N.A.
Y7A9C.3,0,,0,,0,,3,"21UR-9679,21UR-14588,21UR-6933",0,0.0,0,0,Y7A9C.3,WBGene00012419,Sequence name for WBGene00012419(srz-73). History: N.A.
Y7A9C.6,0,,0,,0,,1,21UR-5205,0,0.0,0,0,Y7A9C.6,WBGene00023511,Sequence name for WBGene00023511(srz-41). History: N.A.
Y81G3A.2,0,,0,,1,21UR-12650,3,"21UR-10428,21UR-6987,21UR-12380",0,0.0,2,0,Y81G3A.2,WBGene00014953,Public name for WBGene00014953. History: N.A.
Y82E9BL.9,0,,0,,0,,2,"21UR-6226,21UR-1226",0,0.0,0,0,Y82E9BL.9,WBGene00023395,Public name for WBGene00023395. History: N.A.
Y8A9A.1,0,,0,,0,,2,"21UR-7166,21UR-6855",0,0.0,0,0,Y8A9A.1,WBGene00005380,Sequence name for WBGene00005380(srh-164). History: N.A.
Y95D11A.2,0,,0,,0,,1,21UR-13744,0,0.0,76,11,Y95D11A.2,WBGene00044262,Public name for WBGene00044262. History: N.A.
Y97E10B.6,0,,1,21UR-7105,0,,3,"21UR-15231,21UR-10445,21UR-11887",0,0.0,0,0,Y97E10B.6,WBGene00005902,Sequence name for WBGene00005902(srx-11). History: N.A.
Y97E10B.8,0,,0,,0,,1,21UR-8401,0,0.0,0,0,Y97E10B.8,WBGene00022407,Sequence name for WBGene00022407(srsx-4). History: N.A.
Y9C9A.14,0,,0,,0,,2,"21UR-5814,21UR-13287",0,0.0,0,0,Y9C9A.14,WBGene00021181,Sequence name for WBGene00021181(srz-27). History: N.A.
ZC204.16,0,,0,,0,,2,"21UR-15432,21UR-4214",0,0.0,1,0,ZC204.16,WBGene00044695,Sequence name for WBGene00044695(fbxb-27). History: N.A.
ZC404.6,0,,0,,0,,3,"21UR-2239,21UR-3033,21UR-5581",0,0.0,0,0,ZC404.6,WBGene00005252,Sequence name for WBGene00005252(srh-29). History: N.A.
ZC443.7,0,,0,,0,,1,21UR-7525,0,0.0,0,0,ZC443.7,WBGene00077562,Public name for WBGene00077562. History: N.A.
ZC455.12,0,,0,,0,,1,21UR-10665,0,0.0,0,0,ZC455.12,WBGene00044102,Sequence name for WBGene00044102(srbc-46). History: N.A.
ZC47.12,0,,0,,0,,1,21UR-5850,3,3.0,31,17,ZC47.12,WBGene00013843,Sequence name for WBGene00013843(fbxa-49). History: N.A.
ZC47.8,0,,0,,0,,3,"21UR-15942,21UR-9802,21UR-12146",0,0.0,2,0,ZC47.8,WBGene00014978,Public name for WBGene00014978. History: N.A.
ZC47.9,0,,0,,1,21UR-8992,1,21UR-8200,0,0.0,0,0,ZC47.9,WBGene00013841,Sequence name for WBGene00013841(fbxa-33). History: N.A.
ZC482.9,0,,0,,0,,1,21UR-6120,0,0.0,0,0,ZC482.9,WBGene00005752,Sequence name for WBGene00005752(srw-5). History: N.A.
ZC84.5,0,,0,,0,,1,21UR-11113,0,0.0,0,0,ZC84.5,WBGene00014980,Public name for WBGene00014980. History: N.A.
ZK1025.5,0,,0,,0,,2,"21UR-3937,21UR-9252",0,0.0,0,0,ZK1025.5,WBGene00014185,Public name for WBGene00014185. History: N.A.
ZK1037.2,0,,0,,0,,1,21UR-10120,0,0.0,0,0,ZK1037.2,WBGene00014993,Public name for WBGene00014993. History: N.A.
ZK105.7,0,,0,,1,21UR-11674,2,"21UR-3031,21UR-9763",0,0.0,0,0,ZK105.7,WBGene00022658,Sequence name for WBGene00022658(srh-188). History: N.A.
ZK1225.11,0,,0,,0,,1,21UR-6525,0,0.0,6,0,ZK1225.11,,"Public name for Dead gene WBGene00044715. History of WBGene00044715: Killed on 2010-07-09. Remark: [100629 pad] Removed following correspondence with Rebecca Robilotto and Mark Gerstein, this is no longer believed to be a valid Pseudogene"
ZK1225.8,0,,0,,0,,1,21UR-6595,0,0.0,52,3,ZK1225.8,,"Public name for Dead gene WBGene00014995. History of WBGene00014995: Killed on 2010-07-09. Remark: [100629 pad] Removed following correspondence with Rebecca Robilotto and Mark Gerstein, this is no longer believed to be a valid Pseudogene"
ZK218.14,0,,0,,0,,1,21UR-15801,0,0.0,0,0,ZK218.14,WBGene00045492,Public name for WBGene00045492. History: N.A.
ZK262.12,0,,0,,0,,2,"21UR-13749,21UR-11368",0,0.0,0,0,ZK262.12,WBGene00014984,Public name for WBGene00014984. History: N.A.
ZK262.13,0,,0,,0,,7,"21UR-6719,21UR-3755,21UR-11335,21UR-11132,21UR-11332,21UR-7841,21UR-1173",0,0.0,1,0,ZK262.13,WBGene00005409,Sequence name for WBGene00005409(srh-198). History: N.A.
ZK262.14,0,,0,,0,,1,21UR-7329,0,0.0,3,0,ZK262.14,WBGene00077650,Public name for WBGene00077650. History: N.A.
ZK380.3,0,,0,,0,,1,21UR-11992,0,0.0,0,0,ZK380.3,WBGene00023400,Public name for WBGene00023400. History: N.A.
ZK384.4,0,,0,,0,,1,21UR-12219,0,0.0,0,0,ZK384.4,,Public name for Dead gene WBGene00014985. History of WBGene00014985: Killed on 2016-02-22. Remark: lack of evidence
ZK550.7,0,,0,,0,,2,"21UR-8948,21UR-9082",0,0.0,1,0,ZK550.7,WBGene00013995,"Public name for Dead gene WBGene00014986. History of WBGene00014986: Merged into ""WBGene00013995"" on 2015-03-09"
ZK829.12,0,,0,,0,,2,"21UR-11852,21UR-10905",0,0.0,0,0,ZK829.12,WBGene00014991,Public name for WBGene00014991. History: N.A.
ZK896.3,1,21UR-15730,1,21UR-15762,2,"21UR-13870,21UR-7670",8,"21UR-3579,21UR-10274,21UR-1593,21UR-8800,21UR-7175,21UR-10503,21UR-10888,21UR-1558",1,1.0,1,1,ZK896.3,WBGene00014134,Public name for WBGene00014134. History: N.A.
ZK938.8,0,,0,,1,21UR-15945,4,"21UR-15921,21UR-2976,21UR-1234,21UR-10848",0,0.0,1,0,ZK938.8,WBGene00044804,Public name for WBGene00044804. History: N.A.
cTel7X.1,0,,0,,0,,1,21UR-13831,0,0.0,125,0,cTel7X.1,WBGene00008351,Public name for WBGene00008351. History: N.A.
Y67H2A.9,2,"21UR-15965,21UR-15762",4,"21UR-15742,21UR-15945,21UR-15888,21UR-15744",1,21UR-15921,4,"21UR-15758,21UR-5735,21UR-15887,21UR-13719",5,6.0,7,7,Y67H2A.9,WBGene00014941,Public name for WBGene00014941. History: N.A.
H03G16.3,0,,0,,1,21UR-15940,6,"21UR-1223,21UR-13658,21UR-12657,21UR-13837,21UR-10797,21UR-4845",4,5.0,5,24,H03G16.3,WBGene00014790,Public name for WBGene00014790. History: N.A.
Y43F8B.7,0,,0,,0,,2,"21UR-15081,21UR-4158",3,4.0,107,47,Y43F8B.7,WBGene00012818,Public name for WBGene00012818. History: N.A.
T08G5.13,1,21UR-15786,0,,0,,2,"21UR-8409,21UR-5776",6,8.0,18,54,T08G5.13,WBGene00050930,Public name for WBGene00050930. History: N.A.
Y24F12A.4,6,21UR-15753,3,21UR-15753,5,21UR-15753,2,21UR-15753,2,4.0,82,57,Y24F12A.4,WBGene00012499,Public name for WBGene00012499. History: N.A.
F58D12.4,0,,0,,0,,2,"21UR-8409,21UR-5776",5,8.0,15,54,F58D12.4,WBGene00010249,"Public name for Dead gene WBGene00050901. History of WBGene00050901: Merged into ""WBGene00010249"" on 2010-03-17"
C47G2.7,0,,0,,0,,1,21UR-7979,1,3.0,26,33,C47G2.7,WBGene00044161,"Public name for Dead gene WBGene00044039. History of WBGene00044039: Merged into ""WBGene00044161"" on 2017-03-03"
F49F1.13,0,,0,,0,,1,21UR-9693,13,19.0,403,300,F49F1.13,WBGene00023288,Public name for WBGene00023288. History: N.A.
F12A10.3a,0,,0,,0,,1,21UR-13452,0,1.0,0,1,F12A10.3a,WBGene00017392,Molecule name for WBGene00017392(basl-2). History: N.A.
F12A10.3b,0,,0,,0,,1,21UR-13452,0,1.0,0,1,F12A10.3b,WBGene00017392,Molecule name for WBGene00017392(basl-2). History: N.A.
F23H12.10,0,,0,,0,,1,21UR-14422,0,1.0,232,5,F23H12.10,WBGene00044218,Public name for WBGene00044218. History: N.A.
F31E8.6,0,,0,,0,,1,21UR-8960,0,1.0,0,1,F31E8.6,WBGene00017956,Public name for WBGene00017956. History: N.A.
F32A11.4,1,21UR-11594,0,,0,,2,"21UR-11070,21UR-8960",0,1.0,8,12,F32A11.4,WBGene00009309,Public name for WBGene00009309. History: N.A.
F32A11.5,0,,0,,1,21UR-9977,3,"21UR-9977,21UR-15561,21UR-8960",0,1.0,66,4,F32A11.5,WBGene00009310,Public name for WBGene00009310. History: N.A.
K08E5.1,1,21UR-11594,0,,0,,2,"21UR-11070,21UR-8960",0,1.0,29,45,K08E5.1,WBGene00014801,Public name for WBGene00014801. History: N.A.
T12B5.12,0,,0,,0,,3,"21UR-629,21UR-13620,21UR-9304",0,1.0,0,1,T12B5.12,WBGene00020458,Sequence name for WBGene00020458(fbxa-70). History: N.A.
Y39A3A.7,0,,0,,1,21UR-11207,6,"21UR-10909,21UR-15951,21UR-12628,21UR-11658,21UR-13048,21UR-80",0,1.0,90,8,Y39A3A.7,WBGene00023471,Sequence name for WBGene00023471(srz-86). History: N.A.
Y67H2A.3,0,,0,,0,,4,"21UR-6797,21UR-8907,21UR-7284,21UR-8021",63,83.0,2205,3117,Y67H2A.3,,"Sequence name for Suppressed gene WBGene00014940. Molecular name for Suppressed gene WBGene00014940. Public name for Suppressed gene WBGene00014940. History of WBGene00014940: Killed on 2010-07-09; Suppressed on 2013-07-30. Remark: [100629 pad] Removed following correspondence with Rebecca Robilotto and Mark Gerstein, this is no longer believed to be a valid Pseudogene...This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene."
Y53F4B.43,0,,0,,0,,3,"21UR-11949,21UR-9513,21UR-10751",2,7.0,93,306,Y53F4B.43,WBGene00044726,Public name for WBGene00044726. History: N.A.
R13H7.3,0,,0,,0,,1,21UR-4490,3,9.0,241,169,R13H7.3,WBGene00023331,Public name for WBGene00023331. History: N.A.
F46A8.9,0,,0,,0,,1,21UR-15400,0,2.0,4,2,F46A8.9,WBGene00009752,Public name for WBGene00009752. History: N.A.
Y57A10A.6,0,,0,,1,21UR-13757,4,"21UR-4993,21UR-8764,21UR-9513,21UR-10833",0,2.0,17,4,Y57A10A.6,WBGene00013251,Public name for WBGene00013251. History: N.A.
Y116A8C.48,0,,0,,0,,1,21UR-13784,12,24.0,32,38,Y116A8C.48,WBGene00045043,Public name for WBGene00045043. History: N.A.
ZK666.9,0,,0,,1,21UR-11812,2,"21UR-11896,21UR-6096",30,77.0,164,1236,ZK666.9,,"Public name for Dead gene WBGene00014988. History of WBGene00014988: Killed on 2010-07-09. Remark: [100629 pad] Removed following correspondence with Rebecca Robilotto and Mark Gerstein, this is no longer believed to be a valid Pseudogene"
C53C7.4,0,,0,,1,21UR-11812,3,"21UR-6987,21UR-8939,21UR-6096",114,459.0,168,815,C53C7.4,,"Public name for Dead gene WBGene00014713. History of WBGene00014713: Killed on 2010-07-09. Remark: [100629 pad] Removed following correspondence with Rebecca Robilotto and Mark Gerstein, this is no longer believed to be a valid Pseudogene"
C48D1.6,0,,0,,0,,1,21UR-9130,31,614.0,2871,9640,C48D1.6,,Sequence name for Suppressed gene WBGene00014709. Molecular name for Suppressed gene WBGene00014709. Public name for Suppressed gene WBGene00014709. History of WBGene00014709: Killed on 2010-02-09; Suppressed on 2013-04-19. Remark: This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
T22F3.1,0,,0,,0,,1,21UR-9130,44,741.0,2625,8690,T22F3.1,,Sequence name for Suppressed gene WBGene00023347. Molecular name for Suppressed gene WBGene00023347. Public name for Suppressed gene WBGene00023347. History of WBGene00023347: Killed on 2011-04-19; Suppressed on 2013-07-30. Remark: This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
T27F6.9,0,,0,,0,,1,21UR-9130,44,741.0,2841,9332,T27F6.9,,Sequence name for Suppressed gene WBGene00014847. Molecular name for Suppressed gene WBGene00014847. Public name for Suppressed gene WBGene00014847. History of WBGene00014847: Killed on 2010-02-09; Suppressed on 2013-04-19. Remark: This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
