# Table S1. WAGO-4-associated siRNAs targeted genes,Related to Figure 5
# The targets were selected using a threshold of 25 reads per million total reads.,NA
Gene ID,number of reads,number of reads per million,Input,Suggested Match,History
K01G5.3,2354,199.9490019623,K01G5.3,WBGene00010477,Sequence name for WBGene00010477(enu-3.6). History: N.A.
ZC155.1,2352,199.7791217567,ZC155.1,WBGene00003588,Sequence name for WBGene00003588(nex-1). History: N.A.
R06A4.7,2351,199.6941816539,R06A4.7,WBGene00003220,Sequence name for WBGene00003220(mes-2). History: N.A.
F42A10.4,2350,199.6092415511,F42A10.4,WBGene00001160,Sequence name for WBGene00001160(efk-1). History: N.A.
Y111B2A.11,2349,199.5243014483,Y111B2A.11,WBGene00007030,Sequence name for WBGene00007030(epc-1). History: N.A.
C06G3.7,2347,199.3544212428,C06G3.7,WBGene00015553,Sequence name for WBGene00015553(trxr-1). History: N.A.
F52C9.8,2346,199.26948114,F52C9.8,WBGene00004095,Sequence name for WBGene00004095(pqe-1). History: N.A.
ZK673.3,2346,199.26948114,ZK673.3,WBGene00003038,"Sequence name for WBGene00003038(lin-56). History: N.A.. Public name for Dead gene WBGene00014059. History of WBGene00014059: Merged into ""WBGene00003038"" on 2011-01-18"
Y50D4C.5,2344,199.0996009344,Y50D4C.5,WBGene00021749,Public name for WBGene00021749. History: N.A.
F55A11.3,2340,198.7598405233,F55A11.3,WBGene00004768,"Sequence name for WBGene00004768(sel-11). History: Renamed on 2008-11-05. Public name for Dead gene WBGene00010076. History of WBGene00010076: Merged into ""WBGene00004768"" on 2008-11-05"
C25H3.6,2336,198.4200801121,C25H3.6,WBGene00016115,Sequence name for WBGene00016115(mdt-26). History: N.A.
D1007.10,2336,198.4200801121,D1007.10,WBGene00017007,Public name for WBGene00017007. History: N.A.
C34E10.3,2332,198.080319701,C34E10.3,WBGene00001660,Sequence name for WBGene00001660(gop-1). History: N.A.
R13H8.1,2330,197.9104394954,R13H8.1,WBGene00000912,Sequence name for WBGene00000912(daf-16). History: N.A.
C18E3.9,2329,197.8254993926,C18E3.9,WBGene00015976,Public name for WBGene00015976. History: N.A.
Y47G6A.11,2329,197.8254993926,Y47G6A.11,WBGene00003422,Sequence name for WBGene00003422(msh-6). History: N.A.
Y39G8C.1,2328,197.7405592898,Y39G8C.1,WBGene00012730,Sequence name for WBGene00012730(xrn-1). History: N.A.
ZK265.9,2328,197.7405592898,ZK265.9,WBGene00044094,Sequence name for WBGene00044094(fitm-2). History: N.A.
B0240.4,2322,197.2309186731,B0240.4,WBGene00007118,Sequence name for WBGene00007118(npp-22). History: Renamed on 2008-01-28
K03H1.2,2322,197.2309186731,K03H1.2,WBGene00003389,Sequence name for WBGene00003389(mog-1). History: N.A.
Y79H2A.3,2322,197.2309186731,Y79H2A.3,WBGene00013580,Public name for WBGene00013580. History: N.A.
R03D7.1,2317,196.8062181591,R03D7.1,WBGene00010988,Sequence name for WBGene00010988(metr-1). History: N.A.
K08E3.6,2316,196.7212780564,K08E3.6,WBGene00000875,Sequence name for WBGene00000875(cyk-4). History: N.A.
F49D11.9,2315,196.6363379536,F49D11.9,WBGene00018632,"Sequence name for WBGene00018632(tag-296). History: Split into F49D11.10(WBGene00045433). History of WBGene00018632: Split into ""WBGene00045433"" on 2007-05-23"
F53A3.3,2315,196.6363379536,F53A3.3,WBGene00004491,Sequence name for WBGene00004491(rps-22). History: N.A.
ZC376.5,2313,196.466457748,ZC376.5,WBGene00006613,Sequence name for WBGene00006613(trm-1). History: N.A.
F29G9.2,2311,196.2965775424,F29G9.2,WBGene00017931,Sequence name for WBGene00017931(picc-1). History: N.A.
F31E3.4,2311,196.2965775424,F31E3.4,WBGene00017951,Sequence name for WBGene00017951(panl-2). History: N.A.
ZK520.4,2310,196.2116374396,ZK520.4,WBGene00000837,Sequence name for WBGene00000837(cul-2). History: Renamed on 2013-05-02
Y71F9AL.1,2308,196.0417572341,Y71F9AL.1,WBGene00022107,Public name for WBGene00022107. History: N.A.
R12E2.12,2307,195.9568171313,R12E2.12,WBGene00020037,Sequence name for WBGene00020037(mrps-6). History: N.A.
F38A5.2,2306,195.8718770285,F38A5.2,WBGene00018161,Public name for WBGene00018161. History: N.A.
Y55F3BR.2,2302,195.5321166173,Y55F3BR.2,WBGene00021939,Public name for WBGene00021939. History: N.A.
F56D2.1,2301,195.4471765145,F56D2.1,WBGene00018963,Sequence name for WBGene00018963(ucr-1). History: N.A.
F22G12.5,2299,195.277296309,F22G12.5,WBGene00009065,Public name for WBGene00009065. History: N.A.
Y43B11AR.4,2297,195.1074161034,Y43B11AR.4,WBGene00004473,Sequence name for WBGene00004473(rps-4). History: N.A.
T20F5.7,2294,194.852595795,T20F5.7,WBGene00020629,Public name for WBGene00020629. History: N.A.
Y48C3A.11,2293,194.7676556922,Y48C3A.11,WBGene00012993,Sequence name for WBGene00012993(dmsr-3). History: N.A.
D1043.1,2290,194.5128353839,D1043.1,WBGene00008361,Sequence name for WBGene00008361(ints-7). History: N.A.
F57C9.7,2286,194.1730749727,F57C9.7,WBGene00019013,Sequence name for WBGene00019013(tofu-4). History: N.A.
ZK632.1,2285,194.0881348699,ZK632.1,WBGene00003158,Sequence name for WBGene00003158(mcm-6). History: N.A.
Y92H12BL.1,2284,194.0031947671,Y92H12BL.1,WBGene00022363,Public name for WBGene00022363. History: N.A.
Y106G6A.5,2283,193.9182546644,Y106G6A.5,WBGene00013697,Sequence name for WBGene00013697(dsbn-1). History: N.A.
F35G12.3,2282,193.8333145616,F35G12.3,WBGene00004762,Sequence name for WBGene00004762(sel-5). History: N.A.
F36A2.3,2280,193.663434356,F36A2.3,WBGene00009453,Public name for WBGene00009453. History: N.A.
B0511.10,2279,193.5784942532,B0511.10,WBGene00001228,Sequence name for WBGene00001228(eif-3.E). History: N.A.
ZK1010.2,2277,193.4086140476,ZK1010.2,WBGene00014176,Public name for WBGene00014176. History: N.A.
ZK1248.10,2275,193.2387338421,ZK1248.10,WBGene00022880,Sequence name for WBGene00022880(tbc-2). History: N.A.
C30G12.7,2273,193.0688536365,C30G12.7,WBGene00004244,Sequence name for WBGene00004244(puf-8). History: Renamed on 2012-08-14
W07E6.4,2272,192.9839135337,W07E6.4,WBGene00004188,Sequence name for WBGene00004188(prp-21). History: N.A.
Y60A3A.10,2272,192.9839135337,Y60A3A.10,WBGene00000987,Sequence name for WBGene00000987(dhs-24). History: N.A.
R119.4,2271,192.8989734309,R119.4,WBGene00004143,Sequence name for WBGene00004143(pqn-59). History: N.A.
K01D12.6,2268,192.6441531225,K01D12.6,WBGene00010465,"Sequence name for WBGene00010465(miga-1). History: Split into ""WBGene00303067"" on 2018-03-02"
Y97E10AL.2,2267,192.5592130198,Y97E10AL.2,WBGene00022393,Sequence name for WBGene00022393(abhd-12). History: N.A.
Y40B1B.8,2266,192.474272917,Y40B1B.8,WBGene00012740,Sequence name for WBGene00012740(slc-25A46). History: N.A.
Y54E2A.11,2265,192.3893328142,Y54E2A.11,WBGene00001225,Sequence name for WBGene00001225(eif-3.B). History: N.A.
Y113G7A.9,2263,192.2194526086,Y113G7A.9,WBGene00000940,Sequence name for WBGene00000940(dcs-1). History: Renamed on 2005-12-19
R09B3.3,2262,192.1345125058,R09B3.3,WBGene00011156,Sequence name for WBGene00011156(rbm-3.2). History: N.A.
C04D8.1,2257,191.7098119919,C04D8.1,WBGene00015418,Sequence name for WBGene00015418(pac-1). History: N.A.
W07B3.2,2257,191.7098119919,W07B3.2,WBGene00001561,Sequence name for WBGene00001561(gei-4). History: N.A.
T06D8.6,2252,191.2851114779,T06D8.6,WBGene00011527,Sequence name for WBGene00011527(cchl-1). History: N.A.
M01G5.3,2251,191.2001713752,M01G5.3,WBGene00019716,Sequence name for WBGene00019716(tmem-120). History: N.A.
Y73B6BL.9,2251,191.2001713752,Y73B6BL.9,WBGene00001853,Sequence name for WBGene00001853(hil-2). History: Renamed on 2010-11-12
R06F6.8,2249,191.0302911696,R06F6.8,WBGene00011071,"Public name for WBGene00011071. History: Split into R06F6.12(WBGene00023418). History of WBGene00011071: Split into ""WBGene00023418"" on 2004-07-05"
D1044.6,2248,190.9453510668,D1044.6,WBGene00017031,Public name for WBGene00017031. History: N.A.
F18H3.3,2247,190.860410964,F18H3.3,WBGene00003903,Sequence name for WBGene00003903(pab-2). History: N.A.
F26F4.12,2246,190.7754708612,F26F4.12,WBGene00017831,Public name for WBGene00017831. History: N.A.
H34C03.2,2246,190.7754708612,H34C03.2,WBGene00019259,Public name for WBGene00019259. History: N.A.
C04A2.7,2242,190.4357104501,C04A2.7,WBGene00001023,Sequence name for WBGene00001023(dnj-5). History: N.A.
Y24D9A.2,2240,190.2658302445,Y24D9A.2,WBGene00021282,Sequence name for WBGene00021282(set-21). History: N.A.
C43E11.10,2239,190.1808901417,C43E11.10,WBGene00000382,Sequence name for WBGene00000382(cdc-6). History: N.A.
F46C5.9,2236,189.9260698333,F46C5.9,WBGene00009784,Public name for WBGene00009784. History: N.A.
Y69A2AR.31,2236,189.9260698333,Y69A2AR.31,WBGene00022100,Public name for WBGene00022100. History: N.A.
Y54E10A.4,2235,189.8411297305,Y54E10A.4,WBGene00001481,Sequence name for WBGene00001481(fog-1). History: N.A.
Y74C10AR.1,2233,189.671249525,Y74C10AR.1,WBGene00001232,Sequence name for WBGene00001232(eif-3.I). History: N.A.
Y55B1BR.5,2232,189.5863094222,Y55B1BR.5,WBGene00044401,"Public name for Dead gene WBGene00044400. History of WBGene00044400: Merged into ""WBGene00044401"" on 2014-10-09"
Y67H2A.10,2231,189.5013693194,Y67H2A.10,WBGene00013465,Public name for WBGene00013465. History: N.A.
Y54E2A.8,2228,189.246549011,Y54E2A.8,WBGene00013193,Public name for WBGene00013193. History: N.A.
C07D10.2,2227,189.1616089082,C07D10.2,WBGene00015567,Sequence name for WBGene00015567(bath-44). History: N.A.
F23A7.4,2227,189.1616089082,F23A7.4,WBGene00009069,Public name for WBGene00009069. History: N.A.
F14D2.13,2225,188.9917287027,F14D2.13,WBGene00017461,Sequence name for WBGene00017461(bath-28). History: N.A.
F07C6.4,2224,188.9067885999,F07C6.4,WBGene00008555,Public name for WBGene00008555. History: N.A.
T10B5.5,2224,188.9067885999,T10B5.5,WBGene00020391,Sequence name for WBGene00020391(cct-7). History: N.A.
F25H8.1,2222,188.7369083943,F25H8.1,WBGene00009131,Public name for WBGene00009131. History: N.A.
C36B1.12,2221,188.6519682915,C36B1.12,WBGene00007979,Sequence name for WBGene00007979(imp-1). History: N.A.
F57C2.6,2220,188.5670281887,F57C2.6,WBGene00010198,Sequence name for WBGene00010198(spat-1). History: N.A.
R07E5.3,2219,188.4820880859,R07E5.3,WBGene00011111,Sequence name for WBGene00011111(snfc-5). History: Renamed on 2011-02-11
F15B10.2,2217,188.3122078804,F15B10.2,WBGene00001090,Sequence name for WBGene00001090(drh-1). History: N.A.
F22F1.1,2217,188.3122078804,F22F1.1,WBGene00001854,Sequence name for WBGene00001854(hil-3). History: Renamed on 2010-11-12
Y119C1A.1,2217,188.3122078804,Y119C1A.1,WBGene00022466,Public name for WBGene00022466. History: N.A.
Y54E5A.6,2216,188.2272677776,Y54E5A.6,WBGene00013201,Sequence name for WBGene00013201(dus-2). History: N.A.
F56A8.3,2215,188.1423276748,F56A8.3,WBGene00010139,Public name for WBGene00010139. History: N.A.
C09H6.1,2214,188.057387572,C09H6.1,WBGene00005009,Sequence name for WBGene00005009(spr-4). History: N.A.
K08F11.5,2214,188.057387572,K08F11.5,WBGene00019544,Sequence name for WBGene00019544(miro-1). History: N.A.
F55F8.3,2212,187.8875073664,F55F8.3,WBGene00018891,Public name for WBGene00018891. History: N.A.
ZK637.7,2211,187.8025672636,ZK637.7,WBGene00002998,Sequence name for WBGene00002998(lin-9). History: N.A.
T26E3.7,2210,187.7176271609,T26E3.7,WBGene00012040,Public name for WBGene00012040. History: N.A.
R07E5.7,2209,187.6326870581,R07E5.7,WBGene00011115,Public name for WBGene00011115. History: N.A.
Y67H2A.8,2209,187.6326870581,Y67H2A.8,WBGene00001393,Sequence name for WBGene00001393(fat-1). History: N.A.
R05D11.5,2207,187.4628068525,R05D11.5,WBGene00011033,Sequence name for WBGene00011033(tmem-208). History: N.A.
T20G5.2,2206,187.3778667497,T20G5.2,WBGene00000833,Sequence name for WBGene00000833(cts-1). History: N.A.
Y67D2.4,2206,187.3778667497,Y67D2.4,WBGene00022054,Sequence name for WBGene00022054(mtg-1). History: N.A.
F28F8.2,2204,187.2079865441,F28F8.2,WBGene00009221,Sequence name for WBGene00009221(acs-2). History: N.A.
Y56A3A.20,2203,187.1230464413,Y56A3A.20,WBGene00000369,Sequence name for WBGene00000369(ccf-1). History: N.A.
F28B3.8,2202,187.0381063386,F28B3.8,WBGene00002075,Sequence name for WBGene00002075(imb-1). History: Renamed on 2015-03-05
R53.4,2201,186.9531662358,R53.4,WBGene00011273,Public name for WBGene00011273. History: N.A.
F53F8.5,2197,186.6134058246,F53F8.5,WBGene00010002,Public name for WBGene00010002. History: N.A.
K08B4.1,2197,186.6134058246,K08B4.1,WBGene00002245,Sequence name for WBGene00002245(lag-1). History: N.A.
B0336.9,2194,186.3585855163,B0336.9,WBGene00006359,Sequence name for WBGene00006359(swp-1). History: N.A.
VW02B12L.4,2194,186.3585855163,VW02B12L.4,WBGene00012157,Sequence name for WBGene00012157(adbp-1). History: N.A.
F08H9.1,2192,186.1887053107,F08H9.1,WBGene00000592,Sequence name for WBGene00000592(coh-3). History: N.A.
Y59C2A.2,2192,186.1887053107,Y59C2A.2,WBGene00021985,Public name for WBGene00021985. History: N.A.
K02F3.4,2190,186.0188251051,K02F3.4,WBGene00019327,Sequence name for WBGene00019327(zip-2). History: N.A.
Y73B6BL.2,2190,186.0188251051,Y73B6BL.2,WBGene00002033,Sequence name for WBGene00002033(htp-2). History: N.A.
K02F2.3,2189,185.9338850023,K02F2.3,WBGene00019323,Sequence name for WBGene00019323(teg-4). History: Renamed on 2005-03-17; Renamed on 2010-02-19; Renamed on 2015-03-02
C47B2.8,2188,185.8489448995,C47B2.8,WBGene00004196,Sequence name for WBGene00004196(prx-11). History: N.A.
F11A10.4,2188,185.8489448995,F11A10.4,WBGene00008685,Sequence name for WBGene00008685(mon-2). History: N.A.
F38H4.9,2186,185.679064694,F38H4.9,WBGene00002363,Sequence name for WBGene00002363(let-92). History: N.A.
F57B10.4,2186,185.679064694,F57B10.4,WBGene00019002,Sequence name for WBGene00019002(syp-6). History: N.A.
R53.7,2185,185.5941245912,R53.7,WBGene00011276,Sequence name for WBGene00011276(aakg-5). History: N.A.
T03F6.1,2183,185.4242443856,T03F6.1,WBGene00011398,Sequence name for WBGene00011398(qdpr-1). History: N.A.
H02I12.5,2181,185.25436418,H02I12.5,WBGene00010353,Sequence name for WBGene00010353(memi-3). History: N.A.
C24A11.9,2173,184.5748433577,C24A11.9,WBGene00000761,Sequence name for WBGene00000761(coq-1). History: Renamed on 2015-03-04
F44E2.10,2171,184.4049631521,F44E2.10,WBGene00018423,Public name for WBGene00018423. History: N.A.
F49C12.12,2171,184.4049631521,F49C12.12,WBGene00009881,Public name for WBGene00009881. History: Renamed on 2005-03-17
F55B12.3,2171,184.4049631521,F55B12.3,WBGene00004767,Sequence name for WBGene00004767(sel-10). History: N.A.
Y54E5B.2,2171,184.4049631521,Y54E5B.2,WBGene00013204,Public name for WBGene00013204. History: N.A.
Y116A8C.16,2164,183.8103824326,Y116A8C.16,WBGene00004403,Sequence name for WBGene00004403(rom-4). History: N.A.
C26E6.4,2163,183.7254423298,C26E6.4,WBGene00016140,Sequence name for WBGene00016140(rpb-2). History: Renamed on 2005-03-17
C27D8.3,2161,183.5555621243,C27D8.3,WBGene00007779,Public name for WBGene00007779. History: N.A.
F17C11.9,2161,183.5555621243,F17C11.9,WBGene00008920,Sequence name for WBGene00008920(eef-1G). History: N.A.
Y51H1A.4,2156,183.1308616103,Y51H1A.4,WBGene00013095,Sequence name for WBGene00013095(ing-3). History: N.A.
C32D5.11,2155,183.0459215075,C32D5.11,WBGene00016318,Public name for WBGene00016318. History: N.A.
B0464.2,2153,182.876041302,B0464.2,WBGene00007184,Sequence name for WBGene00007184(ctr-9). History: Renamed on 2014-11-12
F44B9.8,2152,182.7911011992,F44B9.8,WBGene00018409,Public name for WBGene00018409. History: N.A.
R07E5.2,2150,182.6212209936,R07E5.2,WBGene00011110,Sequence name for WBGene00011110(prdx-3). History: N.A.
Y38A8.3,2148,182.451340788,Y38A8.3,WBGene00006737,Sequence name for WBGene00006737(ulp-2). History: N.A.
Y54G2A.73,2148,182.451340788,Y54G2A.73,WBGene00219425,Public name for WBGene00219425. History: N.A.
K07H8.10,2144,182.1115803769,K07H8.10,WBGene00019510,Sequence name for WBGene00019510(nucl-1). History: N.A.
ZK856.16,2142,181.9417001713,ZK856.16,WBGene00050936,Public name for WBGene00050936. History: N.A.
F55A11.7,2141,181.8567600685,F55A11.7,WBGene00010080,Public name for WBGene00010080. History: N.A.
F59E12.11,2140,181.7718199657,F59E12.11,WBGene00019126,"Sequence name for WBGene00019126(sam-4). History: Split into F59E12.17(WBGene00302971). History of WBGene00019126: Split into ""WBGene00302971"" on 2018-03-06"
Y66D12A.10,2140,181.7718199657,Y66D12A.10,WBGene00013436,Public name for WBGene00013436. History: N.A.
F22D3.2,2139,181.6868798629,F22D3.2,WBGene00017699,Sequence name for WBGene00017699(flcn-1). History: N.A.
R148.3,2137,181.5169996574,R148.3,WBGene00020102,Public name for WBGene00020102. History: N.A.
Y49F6B.1,2137,181.5169996574,Y49F6B.1,WBGene00021714,Sequence name for WBGene00021714(cyh-1). History: N.A.
F47G9.1,2134,181.262179349,F47G9.1,WBGene00009829,Sequence name for WBGene00009829(tmed-10). History: N.A.
T10B5.6,2132,181.0922991434,T10B5.6,WBGene00020392,Sequence name for WBGene00020392(knl-3). History: N.A.
T20B12.8,2129,180.8374788351,T20B12.8,WBGene00001974,Sequence name for WBGene00001974(hmg-4). History: N.A.
Y76B12C.2,2129,180.8374788351,Y76B12C.2,WBGene00022296,Sequence name for WBGene00022296(xpc-1). History: N.A.
F38A5.13,2128,180.7525387323,F38A5.13,WBGene00001029,Sequence name for WBGene00001029(dnj-11). History: N.A.
F55A12.1,2127,180.6675986295,F55A12.1,WBGene00018862,Sequence name for WBGene00018862(wago-2). History: N.A.
Y43F4B.7,2126,180.5826585267,Y43F4B.7,WBGene00012804,Sequence name for WBGene00012804(slc-36.1). History: N.A.
Y87G2A.5,2125,180.4977184239,Y87G2A.5,WBGene00006936,Sequence name for WBGene00006936(glp-4). History: Renamed on 2010-01-29; Renamed on 2015-10-07
C06G4.2,2124,180.4127783211,C06G4.2,WBGene00000542,Sequence name for WBGene00000542(clp-1). History: N.A.
Y63D3A.5,2124,180.4127783211,Y63D3A.5,WBGene00006565,Sequence name for WBGene00006565(tfg-1). History: N.A.
H15N14.1,2122,180.2428981155,H15N14.1,WBGene00000079,Sequence name for WBGene00000079(adr-1). History: N.A.
ZK1098.2,2121,180.1579580127,ZK1098.2,WBGene00014219,Public name for WBGene00014219. History: N.A.
Y48G10A.1,2120,180.07301791,Y48G10A.1,WBGene00013018,Public name for WBGene00013018. History: N.A.
F31C3.3,2119,179.9880778072,F31C3.3,WBGene00009285,Public name for WBGene00009285. History: N.A.
F01F1.1,2114,179.5633772932,F01F1.1,WBGene00017158,Sequence name for WBGene00017158(hpo-10). History: N.A.
Y73B6BL.18,2114,179.5633772932,Y73B6BL.18,WBGene00004881,Sequence name for WBGene00004881(smg-3). History: N.A.
T01C3.7,2113,179.4784371904,T01C3.7,WBGene00001423,Sequence name for WBGene00001423(fib-1). History: N.A.
M01A10.1,2109,179.1386767793,M01A10.1,WBGene00019692,Sequence name for WBGene00019692(fubl-4). History: Renamed on 2017-12-07
F53A2.4,2108,179.0537366765,F53A2.4,WBGene00003829,Sequence name for WBGene00003829(nud-1). History: N.A.
M03C11.5,2108,179.0537366765,M03C11.5,WBGene00010842,Sequence name for WBGene00010842(ymel-1). History: N.A.
T28D9.4,2106,178.8838564709,T28D9.4,WBGene00020896,"Public name for WBGene00020896. History: Split into T28D9.16(WBGene00270303). History of WBGene00020896: Split into ""WBGene00270303"" on 2016-07-01"
T26A8.1,2105,178.7989163681,T26A8.1,WBGene00020824,Sequence name for WBGene00020824(pdtf-1). History: N.A.
Y48A6B.3,2105,178.7989163681,Y48A6B.3,WBGene00012964,Public name for WBGene00012964. History: N.A.
C06E1.9,2104,178.7139762654,C06E1.9,WBGene00015524,Public name for WBGene00015524. History: N.A.
C56C10.11,2104,178.7139762654,C56C10.11,WBGene00016968,"Public name for Dead gene WBGene00016967. History of WBGene00016967: Merged into ""WBGene00016968"" on 2019-01-11"
